raw_speciesname_europe,fit.x,NCountries,nCountriesRLEur,RedListCategoryEurope,EuropeanEndemic,Endemic,EdgeOfRange,fit.y,nCountriesRLEU,NCountriesEU,RedListCategoryEU,HabitatsDirective
Boloria aquilonaris,28.87,20,20,LC,0,0,0,32.06,15,15,LC,0
Boloria freija,27.8,7,7,LC,0,0,0,40.4,4,4,LC,0
Boloria polaris,27.55,4,4,VU,0,0,0,27,2,2,VU,0
Melitaea arduinna,27.3,7,7,LC,0,0,0,20.4,3,3,LC,0
Scolitantides orion,26.72,27,27,LC,0,0,0,24.3,16,16,NT,0
Zegris eupheme,26.67,3,3,NT,0,0,0,25.5,1,1,NT,0
Neptis rivularis,26.45,21,21,LC,0,0,0,19.39,12,12,LC,0
Melitaea aurelia,25.95,29,29,NT,0,0,0,26.83,18,18,LC,0
Cupido osiris,25.4,21,21,LC,0,0,0,27.24,12,12,LC,0
Polyommatus dorylas,25.19,27,27,NT,0,0,0,25,17,17,NT,0
Hipparchia hermione,24.76,17,17,NT,0,0,0,28.29,11,11,NT,0
Carcharodus baeticus,24.67,5,5,LC,EuropeanEndemic,0,0,37.75,4,4,LC,0
Oeneis jutta,24.64,10,10,LC,0,0,0,24.12,6,6,LC,0
Polyommatus admetus,24.26,12,12,LC,0,0,0,23.5,7,7,LC,0
Erebia orientalis,24.1,2,2,LC,EuropeanEndemic,0,0,25.5,1,1,LC,0
Hamearis lucina,24.09,35,35,LC,0,0,0,26.57,23,23,LC,0
Pyronia tithonus,23.86,28,28,LC,0,0,0,18.67,20,20,LC,0
Gegenes pumilio,23.86,10,10,LC,0,0,0,19.14,7,7,LC,0
Carterocephalus silvicola,23.72,14,14,LC,0,0,0,29.67,10,10,LC,0
Limenitis populi,23.67,31,31,LC,0,0,0,28.85,22,22,NT,0
Melanargia russiae,23.49,12,12,LC,0,0,0,31.56,6,6,LC,0
Carcharodus floccifera,23.2,28,28,NT,0,0,0,25.91,17,17,LC,0
Parnassius mnemosyne,23.06,32,32,NT,0,0,0,24.7,20,20,LC,IV
Colias palaeno,23.05,20,20,LC,0,0,0,27.31,14,14,LC,0
Anthocharis gruneri,23.02,5,5,LC,0,0,0,22.4,2,2,LC,0
Agriades aquilo,23.02,4,4,LC,0,0,0,23.67,2,2,LC,II
Fabriciana niobe,22.75,36,36,LC,0,0,0,22.97,23,23,NT,0
Neptis sappho,22.46,19,19,LC,0,0,0,21.27,11,11,LC,0
Pyrgus armoricanus,22.41,28,28,LC,0,0,0,24.83,19,19,LC,0
Proterebia phegea,22.17,5,5,LC,0,0,0,17.75,2,2,LC,0
Boloria eunomia,22.12,22,22,LC,0,0,0,26,16,16,LC,0
Hyponephele lycaon,21.99,30,30,LC,0,0,0,26.42,19,19,LC,0
Pseudochazara tisiphone,20.77,2,2,0,0,0,0,15.5,1,1,0,0
Kirinia climene,20.43,8,8,LC,0,0,0,15.5,3,3,LC,0
Melitaea diamina,20.41,35,35,LC,0,0,0,21.76,22,22,NT,0
Arethusana arethusa,20.38,24,24,LC,0,0,0,21.11,14,14,LC,0
Hyponephele lupina,20.35,18,18,LC,0,0,0,23.43,12,12,LC,0
Boloria frigga,20.25,8,8,LC,0,0,0,27.17,5,5,LC,0
Argynnis laodice,20.05,12,12,LC,0,0,0,15.11,9,9,NT,0
Erebia polaris,20,3,3,LC,0,0,0,20,1,1,LC,II
Chazara prieuri,20,1,1,LC,0,0,0,20,1,1,LC,0
Euchloe bazae,20,1,1,VU,EuropeanEndemic,Spain,0,20,1,1,VU,0
Kretania hesperica,20,1,1,LC,EuropeanEndemic,Spain,0,20,1,1,LC,0
Pseudochazara williamsi,20,1,1,0,EuropeanEndemic,0,0,20,1,1,0,0
Archon apollinus,20,1,1,NT,0,0,0,20,1,1,LC,0
Hipparchia pellucida,20,2,2,LC,0,0,EoR,0,0,0,LC,0
Kretania psylorita,20,1,1,LC,EuropeanEndemic,Greece - Crete,0,20,1,1,LC,0
Lycaena thetis,20,1,1,NtA,0,0,EoR,20,1,1,NtA,0
Maniola halicarnassus,20,1,1,NT,0,0,0,20,1,1,NT,0
Ypthima asterope,20,2,2,NtA,0,0,EoR,20,2,2,NtA,0
Zerynthia cretica,20,1,1,LC,EuropeanEndemic,Greece - Crete,0,20,1,1,LC,0
Erebia flavofasciata,19.99,3,3,NT,EuropeanEndemic,0,0,17,2,2,NT,0
Spialia sertorius,19.95,19,19,LC,0,0,0,25.12,15,15,LC,0
Polygonia egea,19.86,12,12,LC,0,0,0,16.78,7,7,LC,0
Agriades optilete,19.5,23,23,LC,0,0,0,22.45,16,16,LC,0
Pyrgus carthami,19.12,26,26,LC,0,0,0,22.36,16,16,LC,0
