"scientificName","taxonID","countryCode","establishmentMeans","source"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","RU","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","CH","Breeding","Wermeille et al. (2014)"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","UA","Breeding","Popov & Geryak (pers. comm.)"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","BE","Breeding","Fichefet et al. (2008); Maes et al. (2012)"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","MK","Breeding","Krpac & Darcemont (2011)"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","DE","Breeding","Reinhardt & Bolz (2011)"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","SI","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","SK","Breeding","Hernik Kalivoda (pers. comm.)"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","RS","Breeding","Jakšic (2003); Popovic et al. (2017)"
"Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","AL","Breeding","Anonymous (2013)"
"Maniola chia","red-lists-european-butterflies-checklist:taxon:022bef15c52ace84a23ef10f087d68a0","GR","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"Pseudophilotes bavius","red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","RO","Breeding","Rakosy (2002)"
"Pseudophilotes bavius","red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","RU","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"Pseudophilotes bavius","red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","GR","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"Pseudophilotes bavius","red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","MK","Breeding","Krpac & Darcemont (2011)"
"Pseudophilotes bavius","red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","UA","Breeding","Popov & Geryak (pers. comm.)"
"Pseudophilotes bavius","red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","RS","Breeding","Jakšic (2003); Popovic et al. (2017)"
