"raw_speciesname_local","raw_speciesname_europe","taxonID","language","license","rightsHolder","datasetID","datasetName","nomenclaturalCode"
"Hipparchia wyssii","Hipparchia wyssii","species-lists-red-list-butterflies:taxon:0e7b2e86b38a10351706767e845ae1ea","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Pseudochazara euxina","Pseudochazara euxina","species-lists-red-list-butterflies:taxon:0ec17d04f44cff241e9a5e6e8b9181a1","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Pieris brassicae","Pieris brassicae","species-lists-red-list-butterflies:taxon:0f7645f1b3de96777aa558246373a4d2","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Lycaena thetis","Lycaena thetis","species-lists-red-list-butterflies:taxon:10662b3a93b6811636c9835db4e617f4","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Zegris eupheme","Zegris eupheme","species-lists-red-list-butterflies:taxon:1076e6e7d15057279d7a1ac492bcbbae","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Maniola jurtina","Maniola jurtina","species-lists-red-list-butterflies:taxon:10a6e59ec3e602af632c4e22eb9c70a4","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Neptis sappho","Neptis sappho","species-lists-red-list-butterflies:taxon:1107489eb1df57c6150ddcb8fce1161c","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Lycaena dimorpha","Lycaena dimorpha","species-lists-red-list-butterflies:taxon:110ba8331f7bb61ce0d43dc691fb5470","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Maculinea teleius","Phengaris teleius","species-lists-red-list-butterflies:taxon:12188b1553aece1a4a7266967ad0fff6","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Leptidaea sinapis","Leptidea sinapis","species-lists-red-list-butterflies:taxon:12962b5eaac3b8411023d124daaf9734","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Azanus ubaldus","Azanus ubaldus","species-lists-red-list-butterflies:taxon:131848e170bed388df69a56d32d2819b","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Thymelicus christi","Thymelicus christi","species-lists-red-list-butterflies:taxon:137a0bf8421783eeefd4950395c1ed02","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Chilades galba","Luthrodes galba","species-lists-red-list-butterflies:taxon:13901973592eb5b494a600a9476d6289","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Lycaena helle","Lycaena helle","species-lists-red-list-butterflies:taxon:13ab84a4e7e7b70b898265d35c610860","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Plebeius trappi","Kretania trappi","species-lists-red-list-butterflies:taxon:13d8d78c239f17ac6f600e9c8fbdd6df","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Polyommatus andronicus","Polyommatus icarus","species-lists-red-list-butterflies:taxon:1453f459ae7c14cbeca31be251558190","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Glaucopsyche melanops","Glaucopsyche melanops","species-lists-red-list-butterflies:taxon:14aed65a07e808e07e19087d82c02f0f","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
