"usageKey","scientificName","rank","order","matchType","phylum","kingdom","genus","class","confidence","synonym","status","family","scientificNameLocal","scientificNameEU","license","rightsHolder","accessRights","datasetName","occurrencestatus","language","datasetID","kingdom1","phylum1","class1"
5141288,"Zerynthia cretica (Rebel, 1904)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Zerynthia","Insecta",98,FALSE,"ACCEPTED","Papilionidae","Allancastria cretica","Zerynthia cretica","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Anthocharis","Insecta",98,FALSE,"ACCEPTED","Pieridae","Anthocaris cardamines","Anthocharis cardamines","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Anthocharis","Insecta",98,FALSE,"ACCEPTED","Pieridae","Anthocaris euphenoides","Anthocharis euphenoides","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1919716,"Anthocharis damone Boisduval, 1836","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Anthocharis","Insecta",98,FALSE,"ACCEPTED","Pieridae","Anthocharis damone","Anthocharis damone","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1919706,"Anthocharis gruneri Herrich-Schaffer, 1851","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Anthocharis","Insecta",98,FALSE,"ACCEPTED","Pieridae","Anthocharis gruneri","Anthocharis gruneri","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
8138711,"Apatura ilia (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Apatura","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Apatura ilia","Apatura ilia","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
5131910,"Apatura iris (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Apatura","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Apatura iris","Apatura iris","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
5131860,"Apatura metis Freyer, 1829","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Apatura","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Apatura metis","Apatura metis","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1896841,"Aphantopus hyperantus (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aphantopus","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Aphantopus hyperanthus","Aphantopus hyperantus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1926722,"Cigaritis acamas (Klug, 1834)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Apharitis","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Apharitis acamas","Cigaritis acamas","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
