"usageKey","scientificName","rank","matchType","kingdom","phylum","class","order","family","genus","confidence","synonym","status","SpeciesnameLocal","SpeciesnameEurope","CountryCode","RedListCategory","Status","Use","Comments"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","SK","LC","Breeding","y",
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","CZ","NE","Breeding","y",
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","ES","NE","Breeding","y",
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","LV","No Red List available","Breeding","y",
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","ME","No Red List available","Breeding","y",
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","PT","No Red List available","Breeding","y",
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","RU","No Red List available","Breeding","y",
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","MK","Unknown","Breeding","y",
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","AL","Unknown","Breeding","y","o"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","IS","No Red List available","Introduced","n","Only introduced"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Aglais io","MT","No Red List available","Introduced","n","Probably accidentally introduced"
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","AD","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","AT","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","CH","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","DE","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","EE","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","FR","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","GB","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","GR","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","IT","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","LT","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","NL","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","UA","LC","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","LI","No Red List available","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","MD","No Red List available","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","LU","NT","Breeding","y",
5881450,"Inachis io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",97,FALSE,"DOUBTFUL","Inachis io","Aglais io","BY","Unknown","Breeding","y",
5130677,"Nymphalis io Linnaeus, 1758","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Nymphalis",98,FALSE,"ACCEPTED","Nymphalis io","Aglais io","HU","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","AD","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","AT","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","BA","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","BE","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","BG","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","CH","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","DE","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","DK","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","EE","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","FI","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","FR","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","GB","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","GR","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","HR","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","HU","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","IE","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","IT","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","LT","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","LU","LC","Breeding","y",
