"usageKey","scientificName","rank","scientificNameLocal","scientificNameEU","CountryCode","threatStatus","Endemic","occurrenceStatus","taxonID"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","FR","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","GB","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","GR","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","HR","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","HU","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","IE","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","IT","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","LI","No Red List available","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","LT","Unknown","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","LU","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","LV","No Red List available","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","MD","No Red List available","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","ME","No Red List available","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","MK","Unknown","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","MT","No Red List available","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","NL","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","NO","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","PL","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","PT","No Red List available","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","RO","No Red List available","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","RS","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","RU","No Red List available","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","SE","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","SI","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","SK","LC","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Aglais urticae","Aglais urticae","UA","No Red List available","","present","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
9510651,"Aglais ichnusa (Bonelli, 1826)","SPECIES","Aglais urticae ichnusa","Aglais ichnusa","FR","Unknown","","present","9510651:be418d91993a2f24baef0e659d2ac09a"
1926099,"Agriades aquilo (Boisduval, 1932)","SPECIES","Agriades aquilo","Agriades aquilo","NO","LC","","present","1926099:6d4127d5cac02b893d92a60e48d2a076"
1926099,"Agriades aquilo (Boisduval, 1932)","SPECIES","Agriades aquilo","Agriades aquilo","RU","No Red List available","","present","1926099:6d4127d5cac02b893d92a60e48d2a076"
1926054,"Agriades glandon (Prunner, 1798)","SPECIES","Agriades glandon","Agriades glandon","ES","Unknown","","present","1926054:580535df1b9f61ba3268d67cfd888ad3"
1926054,"Agriades glandon (Prunner, 1798)","SPECIES","Agriades glandon","Agriades glandon","FR","LC","","present","1926054:580535df1b9f61ba3268d67cfd888ad3"
1926054,"Agriades glandon (Prunner, 1798)","SPECIES","Agriades glandon","Agriades glandon","IT","LC","","present","1926054:580535df1b9f61ba3268d67cfd888ad3"
1926054,"Agriades glandon (Prunner, 1798)","SPECIES","Agriades glandon","Agriades glandon","LI","No Red List available","","present","1926054:580535df1b9f61ba3268d67cfd888ad3"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Agriades optilete","Agriades optilete","BY","Unknown","","present","8020665:a0ab5f0820761d4e3e8792c72862d16d"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Agriades optilete","Agriades optilete","CZ","VU","","present","8020665:a0ab5f0820761d4e3e8792c72862d16d"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Agriades optilete","Agriades optilete","EE","No Red List available","","present","8020665:a0ab5f0820761d4e3e8792c72862d16d"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Agriades optilete","Agriades optilete","FI","LC","","present","8020665:a0ab5f0820761d4e3e8792c72862d16d"
