scientific_name,number_of_countries
Limenitis reducta,24
Lopinga achine,25
Luthrodes galba,1
Lycaena alciphron,29
Lycaena bleusei,2
Lycaena candens,8
Lycaena dimorpha,1
Lycaena dispar,32
Lycaena helle,22
Lycaena hippothoe,30
Lycaena ottomana,6
Lycaena phlaeas,42
Lycaena thersamon,18
Lycaena thetis,1
Lycaena tityrus,34
Lycaena virgaureae,35
Lysandra albicans,1
Lysandra bellargus,30
Lysandra caelestissima,1
Lysandra coridon,30
Lysandra corydonius,1
Lysandra hispana,3
Maniola chia,1
Maniola cypricola,1
Maniola halicarnassus,1
Maniola jurtina,41
Maniola megala,1
Maniola nurag,1
Maniola telmessia,1
Melanargia arge,1
Melanargia galathea,30
Melanargia ines,2
Melanargia lachesis,4
Melanargia larissa,9
Melanargia occitanica,4
Melanargia pherusa,1
Melanargia russiae,12
Melitaea aetherie,3
Melitaea arduinna,7
Melitaea asteria,3
Melitaea athalia,35
Melitaea aurelia,29
Melitaea britomartis,18
Melitaea celadussa,6
Melitaea cinxia,37
Melitaea deione,6
Melitaea diamina,35
Melitaea didyma,28
Melitaea ornata,16
Melitaea parthenoides,8
Melitaea phoebe,32
Melitaea trivia,21
Melitaea varia,4
Minois dryas,25
Muschampia cribrellum,7
Muschampia proto,11
Muschampia tessellum,6
Neolycaena rhymnus,2
Neolysandra coelestina,3
Neptis rivularis,21
Neptis sappho,19
Nymphalis antiopa,36
Nymphalis polychloros,37
Nymphalis vaualbum,13
Nymphalis xanthomelas,23
Ochlodes sylvanus,38
Oeneis ammon,1
Oeneis bore,4
Oeneis glacialis,6
Oeneis jutta,10
Oeneis magna,1
Oeneis melissa,1
Oeneis norna,4
Oeneis polixenes,1
Oeneis tarpeia,2
Papilio alexanor,8
Papilio hospiton,2
Papilio machaon,40
Pararge aegeria,42
Pararge xiphia,1
Pararge xiphioides,1
Parnassius apollo,26
Parnassius mnemosyne,32
Parnassius phoebus,7
Pelopidas thrax,2
Phengaris alcon,33
Phengaris arion,36
Phengaris nausithous,18
Phengaris teleius,21
Pieris balcana,9
Pieris brassicae,42
Pieris bryoniae,14
Pieris cheiranthi,1
Pieris ergane,14
Pieris krueperi,4
Pieris mannii,23
Pieris napi,39
Pieris rapae,43
Pieris wollastoni,1
Plebejidea loewii,2
Plebejus argus,38
Plebejus argyrognomon,28
Plebejus bellieri,2
Plebejus idas,35
Polygonia c-album,39
Polygonia egea,12
