scientific_name,phylogenetic_order,family,subfamily,genus,specific_epithet,authorship,english_name,taxon_comments,habitats_directive,spec_status,edge_of_range,rlc_eur,endemic_eur,rlc_eu27,endemic_eu27,endemic
Boloria frigga,281,Nymphalidae,Heliconiinae,Boloria,frigga,"(Thunberg, 1791)",Frigga's Fritillary,,,SPEC4,,LC,,LC,,
Boloria graeca,269,Nymphalidae,Heliconiinae,Boloria,graeca,"(Staudinger, 1870)",Balkan Fritillary,,,,,LC,,LC,,
Boloria improba,280,Nymphalidae,Heliconiinae,Boloria,improba,"(Butler, 1877)",Dusky-winged Fritillary,,II,SPEC1,,EN,,EN,,
Boloria napaea,272,Nymphalidae,Heliconiinae,Boloria,napaea,"(Hoffmansegg, 1804)",Mountain Fritillary,,,,,LC,,LC,,
Boloria oscarus,284,Nymphalidae,Heliconiinae,Boloria,oscarus,"(Eversmann, 1844)",suggestion: Oscar's Fritillary,,,,EoR,,,,,
Boloria pales,270,Nymphalidae,Heliconiinae,Boloria,pales,"([Denis & Schiffermüller], 1775)",Shepherd's Fritillary,,,,,LC,,LC,,
Boloria polaris,275,Nymphalidae,Heliconiinae,Boloria,polaris,"(Boisduval, 1828)",Polar Fritillary,,,SPEC1,,VU,,VU,,
Boloria selene,277,Nymphalidae,Heliconiinae,Boloria,selene,"([Denis & Schiffermüller], 1775)",Small Pearl-bordered Fritillary,,,,,LC,,LC,,
Boloria selenis,283,Nymphalidae,Heliconiinae,Boloria,selenis,"(Eversmann, 1837)",suggestion: XX Fritillary,,,,,LC,,,,
Boloria thore,276,Nymphalidae,Heliconiinae,Boloria,thore,"(Hübner, 1804)",Thor's Fritillary,,,,,LC,,LC,,
Boloria titania,285,Nymphalidae,Heliconiinae,Boloria,titania,"(Esper, 1793)",Titania's Fritillary,,,SPEC2,,NT,,LC,,
Boloria tritonia,274,Nymphalidae,Heliconiinae,Boloria,tritonia,"(Böber, 1812)",suggestion: XX Fritillary,,,,EoR,,,,,
Borbo borbonica,20,Hesperiidae,Hesperiinae,Borbo,borbonica,"(Boisduval, 1833)",Zeller's Skipper,,,,,,,,,
Brenthis daphne,260,Nymphalidae,Heliconiinae,Brenthis,daphne,"(Bergsträsser, 1780)",Marbled Fritillary,,,,,LC,,LC,,
Brenthis hecate,258,Nymphalidae,Heliconiinae,Brenthis,hecate,"([Denis & Schiffermüller], 1775)",Twin-spot Fritillary,,,,,LC,,LC,,
Brenthis ino,259,Nymphalidae,Heliconiinae,Brenthis,ino,"(Rottemburg, 1775)",Lesser Marbled Fritillary,,,,,LC,,LC,,
Brintesia circe,396,Nymphalidae,Satyrinae,Brintesia,circe,"(Fabricius, 1775)",Great Banded Grayling,,,,,LC,,LC,,
Cacyreus marshalli,158,Lycaenidae,Polyommatinae,Cacyreus,marshalli,"Butler, 1898",Geranium Bronze,,,,,NtA,,NtA,,
Callophrys avis,141,Lycaenidae,Theclinae,Callophrys,avis,"Chapman, 1909",Chapman's Green Hairstreak,,,,,LC,,LC,,
Callophrys chalybeitincta,144,Lycaenidae,Theclinae,Callophrys,chalybeitincta,"Sovinsky, 1905",Sovinsky's Green Hairstreak,,,,EoR,,,,,
Callophrys rubi,143,Lycaenidae,Theclinae,Callophrys,rubi,"(Linnaeus, 1758)",Green Hairstreak,,,,,LC,,LC,,
Callophrys suaveola,142,Lycaenidae,Theclinae,Callophrys,suaveola,"(Staudinger, 1881)",Alpine Green Hairstreak,,,,EoR,,,,,
Carcharodus alceae,36,Hesperiidae,Pyrginae,Carcharodus,alceae,"(Esper, 1780)",Mallow Skipper,,,,,LC,,LC,,
Carcharodus baeticus,44,Hesperiidae,Pyrginae,Carcharodus,baeticus,"(Rambur, 1839)",Southern Marbled Skipper,,,,,LC,EUR,LC,,
Carcharodus floccifera,42,Hesperiidae,Pyrginae,Carcharodus,floccifera,"(Zeller, 1847)",Tufted Marbled Skipper,,,SPEC2,,NT,,LC,,
Carcharodus lavatherae,40,Hesperiidae,Pyrginae,Carcharodus,lavatherae,"(Esper, 1783)",Marbled Skipper,,,SPEC2,,NT,,NT,,
Carcharodus orientalis,41,Hesperiidae,Pyrginae,Carcharodus,orientalis,"Reverdin, 1913",Oriental Marbled Skipper,,,,,LC,,LC,,
Carcharodus stauderi,43,Hesperiidae,Pyrginae,Carcharodus,stauderi,"Reverdin, 1913",False Marbled Skipper,,,,EoR,,,,,
Carcharodus tripolinus,35,Hesperiidae,Pyrginae,Carcharodus,tripolinus,"(Verity, 1925)",False Mallow Skipper,,,,,LC,,LC,,
Carterocephalus palaemon,18,Hesperiidae,Heteropterinae,Carterocephalus,palaemon,"(Pallas, 1771)",Chequered Skipper,,,,,LC,,LC,,
Carterocephalus silvicola,17,Hesperiidae,Heteropterinae,Carterocephalus,silvicola,"(Meigen, 1829)",Northern Chequered Skipper,,,,,LC,,LC,,
Catopsilia florella,73,Pieridae,Coliadinae,Catopsilia,florella,"(Fabricius, 1775)",African Migrant,,,,EoR,,,,,
Celastrina argiolus,159,Lycaenidae,Polyommatinae,Celastrina,argiolus,"(Linnaeus, 1758)",Holly Blue,,,,,LC,,LC,,
Charaxes jasius,331,Nymphalidae,Charaxinae,Charaxes,jasius,"(Linnaeus, 1767)",Two-tailed Pasha,,,,,LC,,LC,,
Chazara briseis,410,Nymphalidae,Satyrinae,Chazara,briseis,"(Linnaeus, 1764)",The Hermit,,,SPEC2,,NT,,NT,,
Chazara persephone,412,Nymphalidae,Satyrinae,Chazara,persephone,"(Hübner, 1805)",Great Steppe Grayling,,,,,LC,,,,
Chazara prieuri,411,Nymphalidae,Satyrinae,Chazara,prieuri,"(Pierret, 1837)",Southern Hermit,,,,,LC,,LC,,
Cigaritis acamas,134,Lycaenidae,Aphnaeinae,Cigaritis,acamas,"(Klug, 1834)",Levantine Leopard,,,,EoR,,,,,
Coenonympha amaryllis,339,Nymphalidae,Satyrinae,Coenonympha,amaryllis,"(Stoll, 1782)",suggestion: Stoll's Heath,,,,EoR,,,,,
Coenonympha arcania,346,Nymphalidae,Satyrinae,Coenonympha,arcania,"(Linnaeus, 1760)",Pearly Heath,,,,,LC,,LC,,
Coenonympha corinna,341,Nymphalidae,Satyrinae,Coenonympha,corinna,"(Hübner, 1804)",Corsican Heath,,,,,LC,EUR,LC,EU27,
Coenonympha dorus,334,Nymphalidae,Satyrinae,Coenonympha,dorus,"(Esper, 1782)",Dusky Heath,,,,,LC,,LC,,
Coenonympha gardetta,344,Nymphalidae,Satyrinae,Coenonympha,gardetta,"(de Prunner, 1798)",Alpine Heath,,,,,LC,EUR,LC,,
Coenonympha glycerion,340,Nymphalidae,Satyrinae,Coenonympha,glycerion,"(Borkhausen, 1788)",Chestnut Heath,,,,,LC,,LC,,
Coenonympha hero,343,Nymphalidae,Satyrinae,Coenonympha,hero,"(Linnaeus, 1760)",Scarce Heath,,IV,SPEC1,,VU,,VU,,
Coenonympha leander,342,Nymphalidae,Satyrinae,Coenonympha,leander,"(Esper, 1784)",Russian Heath,,,,,LC,,LC,,
Coenonympha oedippus,333,Nymphalidae,Satyrinae,Coenonympha,oedippus,"(Fabricius, 1787)",False Ringlet,,II+IV,SPEC1,,EN,,LC,,
Coenonympha orientalis,345,Nymphalidae,Satyrinae,Coenonympha,orientalis,"Rebel, 1909",Balkan Heath,,,SPEC1,,VU,EUR,DD,,
Coenonympha pamphilus,336,Nymphalidae,Satyrinae,Coenonympha,pamphilus,"(Linnaeus, 1758)",Small Heath,,,,,LC,,LC,,
Coenonympha phryne,332,Nymphalidae,Satyrinae,Coenonympha,phryne,"(Pallas, 1771)",Siberian Brown,,,SPEC1,,CR,,,,
Coenonympha rhodopensis,338,Nymphalidae,Satyrinae,Coenonympha,rhodopensis,"Elwes, 1900",Eastern Large Heath,,,,,LC,EUR,LC,,
Coenonympha thyrsis,335,Nymphalidae,Satyrinae,Coenonympha,thyrsis,"(Freyer, 1845)",Cretan Small Heath,,,,,LC,EUR,LC,EU27,GR
Coenonympha tullia,337,Nymphalidae,Satyrinae,Coenonympha,tullia,"(Müller, 1764)",Large Heath,,,SPEC1,,VU,,NT,,
Colias alfacariensis,75,Pieridae,Coliadinae,Colias,alfacariensis,"Ribbe, 1905",Berger's Clouded Yellow,,,,,LC,,LC,,
Colias aurorina,77,Pieridae,Coliadinae,Colias,aurorina,"Herrich-Schäffer, 1850",Greek Clouded Yellow,,,,,LC,,LC,,
Colias caucasica,82,Pieridae,Coliadinae,Colias,caucasica,"Staudinger, 1871",Balkan Clouded Yellow,,,,,LC,,LC,,
Colias chrysotheme,78,Pieridae,Coliadinae,Colias,chrysotheme,"(Esper, 1781)",Lesser Clouded Yellow,,,SPEC1,,VU,,VU,,
Colias crocea,80,Pieridae,Coliadinae,Colias,crocea,"(Geoffroy, 1785)",Clouded Yellow,,,,,LC,,LC,,
Colias erate,79,Pieridae,Coliadinae,Colias,erate,"(Esper, 1805)",Eastern Pale Clouded Yellow,,,,,LC,,LC,,
Colias hecla,85,Pieridae,Coliadinae,Colias,hecla,"Lefèbvre, 1836",Northern Clouded Yellow,,,SPEC2,,NT,,NT,,
Colias hyale,74,Pieridae,Coliadinae,Colias,hyale,"(Linnaeus, 1758)",Pale Clouded Yellow,,,,,LC,,LC,,
Colias myrmidone,81,Pieridae,Coliadinae,Colias,myrmidone,"(Esper, 1781)",Danube Clouded Yellow,,II+IV,SPEC1,,EN,,CR,,
Colias palaeno,83,Pieridae,Coliadinae,Colias,palaeno,"(Linnaeus, 1760)",Moorland Clouded Yellow,,,SPEC4,,LC,,LC,,
Colias phicomone,76,Pieridae,Coliadinae,Colias,phicomone,"(Esper, 1780)",Mountain Clouded Yellow,,,SPEC2,,NT,EUR,NT,,
Colias tyche,84,Pieridae,Coliadinae,Colias,tyche,"(Böber, 1812)",Pale Arctic Clouded Yellow,,,SPEC3,,LC,,LC,,
Colotis evagore,86,Pieridae,Pierinae,Colotis,evagore,"(Klug, 1829)",Desert Orange-tip,,,,,,,,,
Cupido alcetas,185,Lycaenidae,Polyommatinae,Cupido,alcetas,"(Hoffmansegg, 1804)",Provençal Short-tailed Blue,,,,,LC,,LC,,
Cupido argiades,182,Lycaenidae,Polyommatinae,Cupido,argiades,"(Pallas, 1771)",Short-tailed Blue,,,,,LC,,LC,,
Cupido decoloratus,184,Lycaenidae,Polyommatinae,Cupido,decoloratus,"(Staudinger, 1886)",Eastern Short-tailed Blue,,,SPEC2,,NT,,LC,,
Cupido lorquinii,188,Lycaenidae,Polyommatinae,Cupido,lorquinii,"(Herrich-Schäffer, 1850)",Lorquin's Blue,,,,,LC,,LC,,
Cupido minimus,187,Lycaenidae,Polyommatinae,Cupido,minimus,"(Fuessly, 1775)",Little Blue,,,,,LC,,LC,,
Cupido osiris,186,Lycaenidae,Polyommatinae,Cupido,osiris,"(Meigen, 1829)",Osiris Blue,,,,,LC,,LC,,
