SpeciesnameEurope,SpeciesnameLocal,CountryCode,RedListCategory,Status
Carcharodus orientalis,Carcharodus orientalis,RS,NT,P
Carcharodus orientalis,Carcharodus orientalis,RU,No Red List available,P
Carcharodus orientalis,Carcharodus orientalis,UA,VU,P
Carcharodus stauderi,Carcharodus stauderi,GR,LC,P
Carcharodus tripolinus,Carcharodus tripolinus,ES,NE,P
Carcharodus tripolinus,Carcharodus tripolinus,PT,No Red List available,P
Carterocephalus palaemon,Carterocephalus palaemon,AD,Unknown,P
Carterocephalus palaemon,Carterocephalus palaemon,AL,Unknown,P
Carterocephalus palaemon,Carterocephalus palaemon,AT,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,BA,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,BE,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,BG,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,BY,Unknown,P
Carterocephalus palaemon,Carterocephalus palaemon,CH,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,CZ,NE,P
Carterocephalus palaemon,Carterocephalus palaemon,DE,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,EE,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,ES,NE,P
Carterocephalus palaemon,Carterocephalus palaemon,FI,NT,P
Carterocephalus palaemon,Carterocephalus palaemon,FR,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,GB,EN,P
Carterocephalus palaemon,Carterocephalus palaemon,GR,VU,P
Carterocephalus palaemon,Carterocephalus palaemon,HR,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,HU,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,IT,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,LI,No Red List available,P
Carterocephalus palaemon,Carterocephalus palaemon,LT,NT,P
Carterocephalus palaemon,Carterocephalus palaemon,LU,NT,P
Carterocephalus palaemon,Carterocephalus palaemon,LV,No Red List available,P
Carterocephalus palaemon,Carterocephalus palaemon,MD,No Red List available,P
Carterocephalus palaemon,Carterocephalus palaemon,ME,No Red List available,P
Carterocephalus palaemon,Carterocephalus palaemon,MK,Unknown,P
Carterocephalus palaemon,Carterocephalus palaemon,NL,VU,P
Carterocephalus palaemon,Carterocephalus palaemon,NO,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,PL,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,RO,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,RS,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,RU,No Red List available,P
Carterocephalus palaemon,Carterocephalus palaemon,SE,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,SI,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,SK,LC,P
Carterocephalus palaemon,Carterocephalus palaemon,UA,LC,P
Carterocephalus silvicola,Carterocephalus silvicolus,BY,Unknown,P
Carterocephalus silvicola,Carterocephalus silvicolus,CZ,RE,Ex
Carterocephalus silvicola,Carterocephalus silvicola,DE,EN,P
Carterocephalus silvicola,Carterocephalus silvicolus,DK,EN,P
Carterocephalus silvicola,Carterocephalus silvicolus,EE,LC,P
Carterocephalus silvicola,Carterocephalus silvicolus,FI,LC,P
Carterocephalus silvicola,Carterocephalus silvicolus,LT,LC,P
Carterocephalus silvicola,Carterocephalus silvicolus,LV,No Red List available,P
Carterocephalus silvicola,Carterocephalus silvicola,NO,NT,P
Carterocephalus silvicola,Carterocephalus silvicola,PL,LC,P
Carterocephalus silvicola,Carterocephalus silvicola,RU,No Red List available,P
Carterocephalus silvicola,Carterocephalus silvicola,SE,LC,P
Carterocephalus silvicola,Carterocephalus silvicola,SK,RE,Ex
Carterocephalus silvicola,Carterocephalus silvicolus,UA,VU,P
Catopsilia florella,Catopsilia florella,MA_CA,No Red List available,P
Celastrina argiolus,Celastrina argiolus,AD,LC,P
Celastrina argiolus,Celastrina argiolus,AL,Unknown,P
Celastrina argiolus,Celastrina argiolus,AT,LC,P
Celastrina argiolus,Celastrina argiolus,BA,LC,P
Celastrina argiolus,Celastrina argiolus,BE,LC,P
Celastrina argiolus,Celastrina argiolus,BG,LC,P
Celastrina argiolus,Celastrina argiolus,BY,Unknown,P
Celastrina argiolus,Celastrina argiolus,CH,LC,P
Celastrina argiolus,Celastrina argiolus,CY,No Red List available,P
Celastrina argiolus,Celastrina argiolus,CZ,NE,P
Celastrina argiolus,Celastrina argiolus,DE,LC,P
Celastrina argiolus,Celastrina argiolus,DK,LC,P
Celastrina argiolus,Celastrina argiolus,EE,LC,P
Celastrina argiolus,Celastrina argiolus,ES,NE,P
Celastrina argiolus,Celastrina argiolus,FI,LC,P
Celastrina argiolus,Celastrina argiolus,FR,LC,P
Celastrina argiolus,Celastrina argiolus,GB,LC,P
Celastrina argiolus,Celastrina argiolus,GR,LC,P
Celastrina argiolus,Celastrina argiolus,HR,LC,P
Celastrina argiolus,Celastrina argiolus,HU,LC,P
Celastrina argiolus,Celastrina argiolus,IE,LC,P
Celastrina argiolus,Celastrina argiolus,IT,LC,P
Celastrina argiolus,Celastrina argiolus,LI,No Red List available,P
Celastrina argiolus,Celastrina argiolus,LT,LC,P
Celastrina argiolus,Celastrina argiolus,LU,LC,P
Celastrina argiolus,Celastrina argiolus,LV,No Red List available,P
Celastrina argiolus,Celastrina argiolus,MD,No Red List available,P
Celastrina argiolus,Celastrina argiolus,ME,No Red List available,P
Celastrina argiolus,Celastrina argiolus,MK,Unknown,P
Celastrina argiolus,Celastrina argiolus,MT,No Red List available,P
Celastrina argiolus,Celastrina argiolus,NL,LC,P
Celastrina argiolus,Celastrina argiolus,NO,LC,P
Celastrina argiolus,Celastrina argiolus,PL,LC,P
Celastrina argiolus,Celastrina argiolus,PT,No Red List available,P
Celastrina argiolus,Celastrina argiolus,RO,LC,P
Celastrina argiolus,Celastrina argiolus,RS,LC,P
Celastrina argiolus,Celastrina argiolus,RU,No Red List available,P
Celastrina argiolus,Celastrina argiolus,SE,LC,P
Celastrina argiolus,Celastrina argiolus,SI,LC,P
Celastrina argiolus,Celastrina argiolus,SK,LC,P
Celastrina argiolus,Celastrina argiolus,UA,LC,P
Charaxes jasius,Charaxes jasius,AL,NT,P
Charaxes jasius,Charaxes jasius,BA,VU,P
Charaxes jasius,Charaxes jasius,CY,No Red List available,P
Charaxes jasius,Charaxes jasius,ES,NE,P
Charaxes jasius,Charaxes jasius,FR,LC,P
Charaxes jasius,Charaxes jasius,GR,LC,P
Charaxes jasius,Charaxes jasius,HR,LC,P
Charaxes jasius,Charaxes jasius,IT,LC,P
Charaxes jasius,Charaxes jasius,ME,No Red List available,P
Charaxes jasius,Charaxes jasius,PT,No Red List available,P
Chazara briseis,Chazara briseis,AD,VU,P
Chazara briseis,Chazara briseis,AL,VU,P
Chazara briseis,Chazara briseis,AT,CR,P
Chazara briseis,Chazara briseis,BA,NT,P
Chazara briseis,Chazara briseis,BE,RE,Ex
Chazara briseis,Chazara briseis,BG,LC,P
Chazara briseis,Chazara briseis,CH,CR,P
Chazara briseis,Chazara briseis,CY,No Red List available,P
Chazara briseis,Chazara briseis,CZ,CR,P
Chazara briseis,Chazara briseis,DE,CR,P
Chazara briseis,Chazara briseis,ES,NE,P
Chazara briseis,Chazara briseis,FR,VU,P
Chazara briseis,Chazara briseis,GR,LC,P
Chazara briseis,Chazara briseis,HR,LC,P
Chazara briseis,Chazara briseis,HU,EN,P
Chazara briseis,Chazara briseis,MD,No Red List available,P
Chazara briseis,Chazara briseis,ME,No Red List available,P
Chazara briseis,Chazara briseis,MK,Unknown,P
Chazara briseis,Chazara briseis,PL,RE,Ex
Chazara briseis,Chazara briseis,RO,VU,P
Chazara briseis,Chazara briseis,RS,VU,P
Chazara briseis,Chazara briseis,RU,No Red List available,P
Chazara briseis,Chazara briseis,SI,RE,Ex
Chazara briseis,Chazara briseis,SK,CR,P
Chazara briseis,Chazara briseis,UA,NT,P
Chazara persephone,Chazara persephone,RU,No Red List available,P
Chazara persephone,Chazara persephone,UA,VU,P
Chazara prieuri,Chazara prieuri,ES,NT,P
Cigaritis acamas,Apharitis acamas,CY,No Red List available,P
Coenonympha amaryllis,Coenonympha amaryllis,RU,No Red List available,P
Coenonympha arcania,Coenonympha arcania,AD,LC,P
Coenonympha arcania,Coenonympha arcania,AL,Unknown,P
Coenonympha arcania,Coenonympha arcania,AT,LC,P
Coenonympha arcania,Coenonympha arcania,BA,LC,P
Coenonympha arcania,Coenonympha arcania,BE,VU,P
Coenonympha arcania,Coenonympha arcania,BG,LC,P
Coenonympha arcania,Chortobius arcania,BY,Unknown,P
Coenonympha arcania,Coenonympha arcania,CH,NT,P
Coenonympha arcania,Coenonympha arcania,CZ,NT,P
Coenonympha arcania,Coenonympha arcania,DE,LC,P
Coenonympha arcania,Coenonympha arcania,DK,RE,Ex
Coenonympha arcania,Coenonympha arcania,EE,LC,P
Coenonympha arcania,Coenonympha arcania,ES,NE,P
Coenonympha arcania,Coenonympha arcania,FR,LC,P
Coenonympha arcania,Coenonympha arcania,GR,LC,P
Coenonympha arcania,Coenonympha arcania,HR,LC,P
Coenonympha arcania,Coenonympha arcania,HU,LC,P
Coenonympha arcania,Coenonympha arcania,IT,LC,P
Coenonympha arcania,Coenonympha arcania,LT,LC,P
Coenonympha arcania,Coenonympha arcania,LU,LC,P
Coenonympha arcania,Coenonympha arcania,LV,No Red List available,P
Coenonympha arcania,Chortobius arcania,MD,No Red List available,P
Coenonympha arcania,Coenonympha arcania,ME,No Red List available,P
Coenonympha arcania,Coenonympha arcania,MK,Unknown,P
Coenonympha arcania,Coenonympha arcania,NL,RE,Ex
Coenonympha arcania,Coenonympha arcania,NO,LC,P
Coenonympha arcania,Coenonympha arcania,PL,LC,P
Coenonympha arcania,Coenonympha arcania,PT,No Red List available,P
Coenonympha arcania,Coenonympha arcania,RO,LC,P
Coenonympha arcania,Coenonympha arcania,RS,LC,P
Coenonympha arcania,Coenonympha arcania,RU,No Red List available,P
Coenonympha arcania,Coenonympha arcania,SE,LC,P
Coenonympha arcania,Coenonympha arcania,SI,LC,P
Coenonympha arcania,Coenonympha arcania,SK,LC,P
Coenonympha arcania,Chortobius arcania,UA,LC,P
Coenonympha corinna,Coenonympha corinna,FR,LC,P
Coenonympha corinna,Coenonympha corinna,IT,LC,P
Coenonympha corinna,Coenonympha elbana,IT,LC,P
Coenonympha dorus,Coenonympha dorus,AD,NT,P
Coenonympha dorus,Coenonympha dorus,CH,RE,Ex
Coenonympha dorus,Coenonympha dorus,ES,NE,P
Coenonympha dorus,Coenonympha dorus,FR,LC,P
Coenonympha dorus,Coenonympha dorus,IT,LC,P
Coenonympha dorus,Coenonympha dorus,PT,No Red List available,P
Coenonympha gardetta,Coenonympha gardetta,AT,LC,P
Coenonympha gardetta,Coenonympha darwiniana,CH,LC,P
Coenonympha gardetta,Coenonympha gardetta,CH,LC,P
Coenonympha gardetta,Coenonympha gardetta,DE,R,P
Coenonympha gardetta,Coenonympha (darwiniana) macrocomma,FR,LC,P
Coenonympha gardetta,Coenonympha gardetta,FR,LC,P
Coenonympha gardetta,Coenonympha darwiniana,IT,LC,P
Coenonympha gardetta,Coenonympha gardetta,IT,LC,P
Coenonympha gardetta,Coenonympha gardetta,LI,No Red List available,P
Coenonympha gardetta,Coenonympha gardetta,SI,LC,P
Coenonympha glycerion,Coenonympha glycerion,AD,EN,P
Coenonympha glycerion,Coenonympha glycerion,AT,LC,P
Coenonympha glycerion,Coenonympha glycerion,BA,LC,P
Coenonympha glycerion,Coenonympha glycerion,BE,RE,Ex
Coenonympha glycerion,Coenonympha glycerion,BG,LC,P
Coenonympha glycerion,Chortobius glycerion,BY,Unknown,P
Coenonympha glycerion,Coenonympha glycerion,CH,EN,P
Coenonympha glycerion,Coenonympha glycerion,CZ,NE,P
Coenonympha glycerion,Coenonympha glycerion,DE,NT,P
Coenonympha glycerion,Coenonympha glycerion,EE,LC,P
Coenonympha glycerion,Coenonympha glycerion,ES,NE,P
Coenonympha glycerion,Coenonympha glycerion,FI,LC,P
Coenonympha glycerion,Coenonympha glycerion,FR,LC,P
Coenonympha glycerion,Coenonympha glycerion,GR,VU,P
Coenonympha glycerion,Coenonympha glycerion,HR,LC,P
Coenonympha glycerion,Coenonympha glycerion,HU,LC,P
Coenonympha glycerion,Coenonympha glycerion,IT,LC,P
Coenonympha glycerion,Coenonympha glycerion,LI,No Red List available,P
Coenonympha glycerion,Coenonympha glycerion,LT,LC,P
Coenonympha glycerion,Coenonympha glycerion,LV,No Red List available,P
Coenonympha glycerion,Chortobius glycerion,MD,No Red List available,P
Coenonympha glycerion,Coenonympha glycerion,ME,No Red List available,P
Coenonympha glycerion,Coenonympha glycerion,MK,Unknown,P
Coenonympha glycerion,Coenonympha glycerion,PL,LC,P
Coenonympha glycerion,Coenonympha iphioides,PT,No Red List available,P
Coenonympha glycerion,Coenonympha glycerion,RO,LC,P
Coenonympha glycerion,Coenonympha glycerion,RS,LC,P
Coenonympha glycerion,Coenonympha glycerion,RU,No Red List available,P
Coenonympha glycerion,Coenonympha glycerion,SI,LC,P
Coenonympha glycerion,Coenonympha glycerion,SK,LC,P
Coenonympha glycerion,Chortobius glycerion,UA,LC,P
Coenonympha hero,Coenonympha hero,AT,DD,P
Coenonympha hero,Coenonympha hero,BE,RE,Ex
Coenonympha hero,Chortobius hero,BY,Unknown,P
Coenonympha hero,Coenonympha hero,CH,CR,P
Coenonympha hero,Coenonympha hero,CZ,RE,Ex
Coenonympha hero,Coenonympha hero,DE,EN,P
Coenonympha hero,Coenonympha hero,DK,RE,Ex
Coenonympha hero,Coenonympha hero,EE,LC,P
Coenonympha hero,Coenonympha hero,FR,CR,P
Coenonympha hero,Coenonympha hero,LT,EN,P
Coenonympha hero,Coenonympha hero,LV,No Red List available,P
Coenonympha hero,Coenonympha hero,NL,RE,Ex
Coenonympha hero,Coenonympha hero,NO,EN,P
Coenonympha hero,Coenonympha hero,PL,EN,P
Coenonympha hero,Coenonympha hero,RU,No Red List available,P
Coenonympha hero,Coenonympha hero,SE,NT,P
Coenonympha hero,Coenonympha hero,SK,EN,P
Coenonympha hero,Chortobius hero,UA,VU,P
Coenonympha leander,Coenonympha leander,AL,Unknown,P
Coenonympha leander,Coenonympha leander,BG,LC,P
Coenonympha leander,Coenonympha leander (leander),GR,LC,P
Coenonympha leander,Coenonympha leander,MK,Unknown,P
Coenonympha leander,Coenonympha leander,RO,VU,P
Coenonympha leander,Coenonympha leander,RS,LC,P
Coenonympha leander,Coenonympha leander,RU,No Red List available,P
Coenonympha leander,Chortobius leander,UA,DD,P
Coenonympha oedippus,Coenonympha oedippus,AT,CR,P
Coenonympha oedippus,Coenonympha oedippus,BG,RE,Ex
Coenonympha oedippus,Coenonympha oedippus,BY,VU,P
Coenonympha oedippus,Coenonympha oedippus,CH,CR,P
Coenonympha oedippus,Coenonympha oedippus,DE,CR,P
Coenonympha oedippus,Coenonympha oedippus,FR,NT,P
Coenonympha oedippus,Coenonympha oedippus,HR,CR,P
Coenonympha oedippus,Coenonympha oedippus,HU,EN,P
Coenonympha oedippus,Coenonympha oedippus,IT,LC,P
Coenonympha oedippus,Coenonympha oedippus,LI,No Red List available,P
Coenonympha oedippus,Coenonympha oedippus,PL,EN,P
Coenonympha oedippus,Coenonympha oedippus,RU,No Red List available,P
Coenonympha oedippus,Coenonympha oedippus,SI,EN,P
Coenonympha oedippus,Coenonympha oedippus,SK,RE,Ex
Coenonympha oedippus,Coenonympha oedippus,UA,EN,P
Coenonympha orientalis,Coenonympha orientalis,AL,Unknown,P
Coenonympha orientalis,Coenonympha orientalis,BA,EN,P
Coenonympha orientalis,Coenonympha leander (orientalis),GR,LC,P
Coenonympha orientalis,Coenonympha orientalis,ME,No Red List available,P
Coenonympha orientalis,Coenonympha orientalis,RS,NT,P
Coenonympha pamphilus,Coenonympha pamphilus,AD,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,AL,Unknown,P
Coenonympha pamphilus,Coenonympha pamphilus,AT,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,BA,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,BE,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,BG,LC,P
Coenonympha pamphilus,Chortobius pamphilus,BY,Unknown,P
Coenonympha pamphilus,Coenonympha pamphilus,CH,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,CZ,NE,P
Coenonympha pamphilus,Coenonympha pamphilus,DE,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,DK,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,EE,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,ES,NE,P
Coenonympha pamphilus,Coenonympha pamphilus,FI,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,FR,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,GB,NT,P
Coenonympha pamphilus,Coenonympha pamphilus,GR,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,HR,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,HU,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,IE,NT,P
Coenonympha pamphilus,Coenonympha lyllus,IT,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,IT,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,LI,No Red List available,P
Coenonympha pamphilus,Coenonympha pamphilus,LT,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,LU,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,LV,No Red List available,P
Coenonympha pamphilus,Chortobius pamphilus,MD,No Red List available,P
Coenonympha pamphilus,Coenonympha pamphilus,ME,No Red List available,P
Coenonympha pamphilus,Coenonympha pamphilus,MK,Unknown,P
Coenonympha pamphilus,Coenonympha pamphilus,MT,No Red List available,P
Coenonympha pamphilus,Coenonympha pamphilus,NL,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,NO,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,PL,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,PT,No Red List available,P
Coenonympha pamphilus,Coenonympha pamphilus,RO,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,RS,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,RU,No Red List available,P
Coenonympha pamphilus,Coenonympha pamphilus,SE,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,SI,LC,P
Coenonympha pamphilus,Coenonympha pamphilus,SK,LC,P
Coenonympha pamphilus,Chortobius pamphilus,UA,LC,P
Coenonympha phryne,Triphysa phryne,RU,No Red List available,P
Coenonympha phryne,Triphysa phryne,UA,CR,P
Coenonympha rhodopensis,Coenonympha rhodopensis,AL,VU,P
Coenonympha rhodopensis,Coenonympha rhodopensis,BA,LC,P
Coenonympha rhodopensis,Coenonympha rhodopensis,BG,NT,P
Coenonympha rhodopensis,Coenonympha rhodopensis,GR,LC,P
Coenonympha rhodopensis,Coenonympha rhodopensis,HR,LC,P
Coenonympha rhodopensis,Coenonympha rhodopensis,IT,LC,P
Coenonympha rhodopensis,Coenonympha rhodopensis,ME,No Red List available,P
Coenonympha rhodopensis,Coenonympha rhodopensis,MK,Unknown,P
Coenonympha rhodopensis,Coenonympha rhodopensis,RO,NT,P
Coenonympha rhodopensis,Coenonympha rhodopensis,RS,NT,P
Coenonympha thyrsis,Coenonympha thyrsis,GR,LC,P
Coenonympha tullia,Coenonympha tullia,AT,VU,P
Coenonympha tullia,Coenonympha tullia,BA,CR,P
Coenonympha tullia,Coenonympha tullia,BE,CR,P
Coenonympha tullia,Chortobius tullia,BY,Unknown,P
Coenonympha tullia,Coenonympha tullia,CH,CR,P
Coenonympha tullia,Coenonympha tullia,CZ,CR,P
Coenonympha tullia,Coenonympha tullia,DE,EN,P
Coenonympha tullia,Coenonympha tullia,DK,EN,P
Coenonympha tullia,Coenonympha tullia,EE,LC,P
Coenonympha tullia,Coenonympha tullia,FI,LC,P
Coenonympha tullia,Coenonympha tullia,FR,EN,P
Coenonympha tullia,Coenonympha tullia,GB,VU,P
Coenonympha tullia,Coenonympha tullia,HU,RE,Ex
Coenonympha tullia,Coenonympha tullia,IE,VU,P
Coenonympha tullia,Coenonympha tullia,LT,VU,P
Coenonympha tullia,Coenonympha tullia,LV,No Red List available,P
Coenonympha tullia,Coenonympha tullia,NL,CR,P
Coenonympha tullia,Coenonympha tullia,NO,LC,P
Coenonympha tullia,Coenonympha tullia,PL,VU,P
Coenonympha tullia,Coenonympha tullia,RO,EN,P
Coenonympha tullia,Coenonympha tullia,RU,No Red List available,P
Coenonympha tullia,Coenonympha tullia,SE,LC,P
Coenonympha tullia,Coenonympha tullia,SI,EN,P
Coenonympha tullia,Coenonympha tullia,SK,VU,P
Coenonympha tullia,Chortobius tullia,UA,VU,P
Colias alfacariensis,Colias alfacariensis,AD,LC,P
Colias alfacariensis,Colias alfacariensis,AL,VU,P
Colias alfacariensis,Colias alfacariensis,AT,NT,P
Colias alfacariensis,Colias alfacariensis,BA,LC,P
Colias alfacariensis,Colias alfacariensis,BE,VU,P
Colias alfacariensis,Colias alfacariensis,BG,LC,P
Colias alfacariensis,Colias alfacariensis,CH,LC,P
Colias alfacariensis,Colias alfacariensis,CZ,VU,P
Colias alfacariensis,Colias alfacariensis,DE,LC,P
Colias alfacariensis,Colias alfacariensis,ES,NE,P
Colias alfacariensis,Colias alfacariensis,FR,LC,P
Colias alfacariensis,Colias alfacariensis,GR,LC,P
Colias alfacariensis,Colias alfacariensis,HR,LC,P
Colias alfacariensis,Colias alfacariensis,HU,LC,P
Colias alfacariensis,Colias alfacariensis,IT,LC,P
Colias alfacariensis,Colias alfacariensis,LI,No Red List available,P
Colias alfacariensis,Colias alfacariensis,MD,No Red List available,P
Colias alfacariensis,Colias alfacariensis,ME,No Red List available,P
Colias alfacariensis,Colias alfacariensis,MK,Unknown,P
Colias alfacariensis,Colias alfacariensis,PL,LC,P
Colias alfacariensis,Colias alfacariensis,PT,No Red List available,P
Colias alfacariensis,Colias alfacariensis,RO,LC,P
Colias alfacariensis,Colias alfacariensis,RS,LC,P
Colias alfacariensis,Colias alfacariensis,RU,No Red List available,P
Colias alfacariensis,Colias alfacariensis,SI,LC,P
Colias alfacariensis,Colias alfacariensis,SK,LC,P
Colias alfacariensis,Colias alfacariensis,UA,DD,P
Colias aurorina,Colias aurorina,AL,Unknown,P
Colias aurorina,Colias aurorina,GR,LC,P
Colias caucasica,Colias caucasica,AL,Unknown,P
Colias caucasica,Colias caucasica balcanica,BA,VU,P
Colias caucasica,Colias caucasica,BG,VU,P
Colias caucasica,Colias caucasica,GR,NT,P
Colias caucasica,Colias caucasica,HR,Unknown,P
Colias caucasica,Colias caucasica,ME,No Red List available,P
Colias caucasica,Colias caucasica,MK,Unknown,P
Colias caucasica,Colias caucasica,RS,VU,P
Colias chrysotheme,Colias chrysotheme,AT,CR,P
Colias chrysotheme,Colias chrysotheme,CZ,RE,Ex
Colias chrysotheme,Colias chrysotheme,HU,VU,P
Colias chrysotheme,Colias chrysotheme,MD,No Red List available,P
Colias chrysotheme,Colias chrysotheme,RO,VU,P
Colias chrysotheme,Colias chrysotheme,RU,No Red List available,P
Colias chrysotheme,Colias chrysotheme,SK,CR,P
Colias chrysotheme,Colias chrysotheme,UA,EN,P
Colias crocea,Colias crocea,AD,LC,M
Colias crocea,Colias croceus,AL,Unknown,P
Colias crocea,Colias croceus,AT,NE,P
Colias crocea,Colias croceus,BA,LC,M
Colias crocea,Colias crocea,BE,LC,M
Colias crocea,Colias croceus,BG,LC,P
Colias crocea,Colias croceus,CH,LC,M
Colias crocea,Colias crocea,CY,No Red List available,P
Colias crocea,Colias crocea,CZ,NE,M
Colias crocea,Colias crocea,DE,LC,M
Colias crocea,Colias croceus,DK,NtA,M
Colias crocea,Colias crocea,ES,NE,P
Colias crocea,Colias crocea,FR,LC,P
Colias crocea,Colias croceus,GB,LC,M
Colias crocea,Colias crocea,GR,LC,M
Colias crocea,Colias crocea,HR,LC,P
Colias crocea,Colias croceus,HU,LC,M
Colias crocea,Colias croceus,IE,LC,M
Colias crocea,Colias crocea,IT,LC,P
Colias crocea,Colias crocea,LI,No Red List available,M
Colias crocea,Colias croceus,LU,LC,M
Colias crocea,Colias croceus,LV,No Red List available,M
Colias crocea,Colias crocea,MA_AZ,No Red List available,P
Colias crocea,Colias crocea,MA_CA,No Red List available,P
Colias crocea,Colias crocea,MA_MA,No Red List available,P
Colias crocea,Colias crocea,MD,No Red List available,P
Colias crocea,Colias croceus,ME,No Red List available,P
Colias crocea,Colias croceus,MK,Unknown,M
Colias crocea,Colias croceus,MT,No Red List available,P
Colias crocea,Colias crocea,NL,NE,M
Colias crocea,Colias croceus,PL,LC,M
Colias crocea,Colias croceus,PT,No Red List available,P
Colias crocea,Colias croceus,RO,LC,P
Colias crocea,Colias croceus,RS,LC,P
Colias crocea,Colias croceus,RU,No Red List available,P
Colias crocea,Colias croceus,SI,LC,P
Colias crocea,Colias croceus,SK,LC,M
Colias crocea,Colias crocea,UA,LC,P
Colias erate,Colias erate,AT,LC,P
Colias erate,Colias erate,BG,LC,P
Colias erate,Colias erate,CZ,NE,P
Colias erate,Colias erate,GR,LC,P
Colias erate,Colias erate,HR,LC,P
Colias erate,Colias erate,HU,LC,P
Colias erate,Colias erate,MD,No Red List available,P
Colias erate,Colias erate,MK,Unknown,P
Colias erate,Colias erate,RO,NT,P
Colias erate,Colias erate,RS,LC,P
Colias erate,Colias erate,RU,No Red List available,P
Colias erate,Colias erate,SK,LC,P
Colias erate,Colias erate,UA,LC,P
Colias hecla,Colias hecla,FI,VU,P
Colias hecla,Colias hecla,NO,LC,P
Colias hecla,Colias hecla,RU,No Red List available,P
Colias hecla,Colias hecla,SE,NT,P
Colias hyale,Colias hyale,AT,LC,P
Colias hyale,Colias hyale,BA,LC,P
Colias hyale,Colias hyale,BE,LC,M
Colias hyale,Colias hyale,BG,LC,P
Colias hyale,Colias hyale,BY,Unknown,P
Colias hyale,Colias hyale,CH,LC,P
Colias hyale,Colias hyale,CZ,NE,P
Colias hyale,Colias hyale,DE,LC,P
Colias hyale,Colias hyale,DK,LC,M
Colias hyale,Colias hyale,EE,NT,P
Colias hyale,Colias hyale,FI,NtA,M
Colias hyale,Colias hyale,FR,LC,P
Colias hyale,Colias hyale,HR,LC,P
Colias hyale,Colias hyale,HU,LC,P
Colias hyale,Colias hyale,IT,LC,P
Colias hyale,Colias hyale,LI,No Red List available,P
Colias hyale,Colias hyale,LT,LC,P
Colias hyale,Colias hyale,LU,NE,M
Colias hyale,Colias hyale,LV,No Red List available,P
Colias hyale,Colias hyale,MD,No Red List available,P
Colias hyale,Colias hyale,ME,No Red List available,P
Colias hyale,Colias hyale,MK,Unknown,P
Colias hyale,Colias hyale,NL,NE,M
Colias hyale,Colias hyale,PL,LC,P
Colias hyale,Colias hyale,RO,LC,P
Colias hyale,Colias hyale,RS,LC,P
Colias hyale,Colias hyale,RU,No Red List available,P
Colias hyale,Colias hyale,SI,LC,P
Colias hyale,Colias hyale,SK,LC,P
Colias hyale,Colias hyale,UA,LC,P
Colias myrmidone,Colias myrmidone,AT,CR,P
Colias myrmidone,Colias myrmidone,BY,VU,P
Colias myrmidone,Colias myrmidone,CZ,RE,Ex
Colias myrmidone,Colias myrmidone,DE,RE,Ex
Colias myrmidone,Colias myrmidone,HR,CR,P
Colias myrmidone,Colias myrmidone,HU,RE,Ex
Colias myrmidone,Colias myrmidone,LV,No Red List available,P
Colias myrmidone,Colias myrmidone,PL,EN,P
Colias myrmidone,Colias myrmidone,RO,EN,P
Colias myrmidone,Colias myrmidone,RS,CR,P
Colias myrmidone,Colias myrmidone,RU,No Red List available,P
Colias myrmidone,Colias myrmidone,SI,RE,Ex
Colias myrmidone,Colias myrmidone,SK,CR,P
