SpeciesnameEurope,SpeciesnameLocal,CountryCode,RedListCategory,Status
Agriades pyrenaicus,Agriades pyrenaicus,ES,NE,P
Agriades pyrenaicus,Agriades pyrenaicus,FR,LC,P
Agriades zullichi,Agriades zullichi,ES,EN,P
Anthocharis cardamines,Anthocharis cardamines,AD,LC,P
Anthocharis cardamines,Anthocharis cardamines,AL,Unknown,P
Anthocharis cardamines,Anthocharis cardamines,AT,LC,P
Anthocharis cardamines,Anthocharis cardamines,BA,LC,P
Anthocharis cardamines,Anthocharis cardamines,BE,LC,P
Anthocharis cardamines,Anthocharis cardamines,BG,LC,P
Anthocharis cardamines,Anthocharis cardamines,BY,Unknown,P
Anthocharis cardamines,Anthocharis cardamines,CH,LC,P
Anthocharis cardamines,Anthocharis cardamines,CY,No Red List available,P
Anthocharis cardamines,Anthocharis cardamines,CZ,NE,P
Anthocharis cardamines,Anthocharis cardamines,DE,LC,P
Anthocharis cardamines,Anthocharis cardamines,DK,LC,P
Anthocharis cardamines,Anthocharis cardamines,EE,LC,P
Anthocharis cardamines,Anthocharis cardamines,ES,NE,P
Anthocharis cardamines,Anthocharis cardamines,FI,LC,P
Anthocharis cardamines,Anthocharis cardamines,FR,LC,P
Anthocharis cardamines,Anthocharis cardamines,GB,LC,P
Anthocharis cardamines,Anthocharis cardamines,GR,LC,P
Anthocharis cardamines,Anthocharis cardamines,HR,LC,P
Anthocharis cardamines,Anthocharis cardamines,HU,LC,P
Anthocharis cardamines,Anthocharis cardamines,IE,LC,P
Anthocharis cardamines,Anthocharis cardamines,IT,LC,P
Anthocharis cardamines,Anthocharis cardamines,LI,No Red List available,P
Anthocharis cardamines,Anthocharis cardamines,LT,LC,P
Anthocharis cardamines,Anthocharis cardamines,LU,LC,P
Anthocharis cardamines,Anthocharis cardamines,LV,No Red List available,P
Anthocharis cardamines,Anthocharis cardamines,MD,No Red List available,P
Anthocharis cardamines,Anthocharis cardamines,ME,No Red List available,P
Anthocharis cardamines,Anthocharis cardamines,MK,Unknown,P
Anthocharis cardamines,Anthocharis cardamines,NL,LC,P
Anthocharis cardamines,Anthocharis cardamines,NO,LC,P
Anthocharis cardamines,Anthocharis cardamines,PL,LC,P
Anthocharis cardamines,Anthocharis cardamines,PT,No Red List available,P
Anthocharis cardamines,Anthocharis cardamines,RO,LC,P
Anthocharis cardamines,Anthocharis cardamines,RS,LC,P
Anthocharis cardamines,Anthocharis cardamines,RU,No Red List available,P
Anthocharis cardamines,Anthocharis cardamines,SE,LC,P
Anthocharis cardamines,Anthocharis cardamines,SI,LC,P
Anthocharis cardamines,Anthocharis cardamines,SK,LC,P
Anthocharis cardamines,Anthocharis cardamines,UA,LC,P
Anthocharis damone,Anthocharis damone,AL,Unknown,P
Anthocharis damone,Anthocharis damone,GR,NT,P
Anthocharis damone,Anthocharis damone,IT,LC,P
Anthocharis damone,Anthocharis damone,MK,VU,P
Anthocharis damone,Anthocharis damone,RS,EN,P
Anthocharis euphenoides,Anthocharis euphenoides,AD,LC,P
Anthocharis euphenoides,Anthocharis euphenoides,ES,NE,P
Anthocharis euphenoides,Anthocharis euphenoides,FR,LC,P
Anthocharis euphenoides,Anthocharis euphenoides,IT,NT,P
Anthocharis euphenoides,Anthocaris euphenoides,PT,No Red List available,P
Anthocharis gruneri,Anthocharis gruneri,AL,VU,P
Anthocharis gruneri,Anthocharis gruneri,BG,VU,P
Anthocharis gruneri,Anthocharis gruneri,GR,LC,P
Anthocharis gruneri,Anthocharis gruneri,MK,Unknown,P
Anthocharis gruneri,Anthocharis gruneri,RS,EN,P
Apatura ilia,Apatura ilia,AD,DD,P
Apatura ilia,Apatura ilia,AL,VU,P
Apatura ilia,Apatura ilia,AT,NT,P
Apatura ilia,Apatura ilia,BA,NT,P
Apatura ilia,Apatura ilia,BE,LC,P
Apatura ilia,Apatura ilia,BG,LC,P
Apatura ilia,Apatura ilia,BY,Unknown,P
Apatura ilia,Apatura ilia,CH,VU,P
Apatura ilia,Apatura ilia,CZ,NE,P
Apatura ilia,Apatura ilia,DE,NT,P
Apatura ilia,Apatura ilia,DK,NtA,P
Apatura ilia,Apatura ilia,EE,LC,P
Apatura ilia,Apatura ilia,ES,NE,P
Apatura ilia,Apatura ilia,FI,LC,P
Apatura ilia,Apatura ilia,FR,LC,P
Apatura ilia,Apatura ilia,GR,LC,P
Apatura ilia,Apatura ilia,HR,NT,P
Apatura ilia,Apatura ilia,HU,LC,P
Apatura ilia,Apatura ilia,IT,LC,P
Apatura ilia,Apatura ilia,LI,No Red List available,P
Apatura ilia,Apatura ilia,LT,LC,P
Apatura ilia,Apatura ilia,LU,VU,P
Apatura ilia,Apatura ilia,LV,No Red List available,P
Apatura ilia,Apatura ilia,MD,No Red List available,P
Apatura ilia,Apatura ilia,ME,No Red List available,P
Apatura ilia,Apatura ilia,MK,Unknown,P
Apatura ilia,Apatura ilia,PL,LC,P
Apatura ilia,Apatura ilia,PT,No Red List available,P
Apatura ilia,Apatura ilia,RO,NT,P
Apatura ilia,Apatura ilia,RS,LC,P
Apatura ilia,Apatura ilia,RU,No Red List available,P
Apatura ilia,Apatura ilia,SI,VU,P
Apatura ilia,Apatura ilia,SK,LC,P
Apatura ilia,Apatura ilia,UA,LC,P
Apatura iris,Apatura iris,AD,DD,P
Apatura iris,Apatura iris,AL,Unknown,P
Apatura iris,Apatura iris,AT,LC,P
Apatura iris,Apatura iris,BA,NT,P
Apatura iris,Apatura iris,BE,LC,P
Apatura iris,Apatura iris,BG,LC,P
Apatura iris,Apatura iris,BY,Unknown,P
Apatura iris,Apatura iris,CH,NT,P
Apatura iris,Apatura iris,CZ,NE,P
Apatura iris,Apatura iris,DE,NT,P
Apatura iris,Apatura iris,DK,LC,P
Apatura iris,Apatura iris,EE,LC,P
Apatura iris,Apatura iris,ES,NE,P
Apatura iris,Apatura iris,FI,LC,P
Apatura iris,Apatura iris,FR,LC,P
Apatura iris,Apatura iris,GB,NT,P
Apatura iris,Apatura iris,GR,LC,P
Apatura iris,Apatura iris,HR,NT,P
Apatura iris,Apatura iris,HU,NT,P
Apatura iris,Apatura iris,IT,LC,P
Apatura iris,Apatura iris,LI,No Red List available,P
Apatura iris,Apatura iris,LT,LC,P
Apatura iris,Apatura iris,LU,LC,P
Apatura iris,Apatura iris,LV,No Red List available,P
Apatura iris,Apatura iris,ME,No Red List available,P
Apatura iris,Apatura iris,MK,Unknown,P
Apatura iris,Apatura iris,NL,CR,P
Apatura iris,Apatura iris,PL,NT,P
Apatura iris,Apatura iris,PT,No Red List available,P
Apatura iris,Apatura iris,RO,NT,P
Apatura iris,Apatura iris,RS,LC,P
Apatura iris,Apatura iris,RU,No Red List available,P
Apatura iris,Apatura iris,SE,LC,P
Apatura iris,Apatura iris,SI,LC,P
Apatura iris,Apatura iris,SK,LC,P
Apatura iris,Apatura iris,UA,LC,P
Apatura metis,Apatura metis,AL,Unknown,P
Apatura metis,Apatura metis,AT,DD,P
Apatura metis,Apatura metis,BA,NT,P
Apatura metis,Apatura metis,BG,LC,P
Apatura metis,Apatura metis,GR,LC,P
Apatura metis,Apatura metis,HR,VU,P
Apatura metis,Apatura metis,HU,VU,P
Apatura metis,Apatura metis,MD,No Red List available,P
Apatura metis,Apatura metis,ME,No Red List available,P
Apatura metis,Apatura metis,RO,NT,P
Apatura metis,Apatura metis,RS,VU,P
Apatura metis,Apatura metis,RU,No Red List available,P
Apatura metis,Apatura metis,SK,DD,P
Apatura metis,Apatura metis,UA,VU,P
Aphantopus hyperantus,Aphantopus hyperantus,AD,VU,P
Aphantopus hyperantus,Aphantopus hyperantus,AL,Unknown,P
Aphantopus hyperantus,Aphantopus hyperantus,AT,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,BA,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,BE,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,BG,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,BY,Unknown,P
Aphantopus hyperantus,Aphantopus hyperantus,CH,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,CZ,NE,P
Aphantopus hyperantus,Aphantopus hyperantus,DE,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,DK,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,EE,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,ES,NE,P
Aphantopus hyperantus,Aphantopus hyperantus,FI,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,FR,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,GB,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,GR,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,HR,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,HU,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,IE,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,IT,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,LI,No Red List available,P
Aphantopus hyperantus,Aphantopus hyperantus,LT,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,LU,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,LV,No Red List available,P
Aphantopus hyperantus,Aphantopus hyperantus,MD,No Red List available,P
Aphantopus hyperantus,Aphantopus hyperantus,ME,No Red List available,P
Aphantopus hyperantus,Aphantopus hyperantus,MK,Unknown,P
Aphantopus hyperantus,Aphantopus hyperantus,NL,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,NO,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,PL,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,RO,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,RS,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,RU,No Red List available,P
Aphantopus hyperantus,Aphantopus hyperantus,SE,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,SI,LC,P
Aphantopus hyperantus,Aphantopus hyperanthus,SK,LC,P
Aphantopus hyperantus,Aphantopus hyperantus,UA,LC,P
Aporia crataegi,Aporia crataegi,AD,LC,P
Aporia crataegi,Aporia crataegi,AL,Unknown,P
Aporia crataegi,Aporia crataegi,AT,NT,P
Aporia crataegi,Aporia crataegi,BA,LC,P
Aporia crataegi,Aporia crataegi,BE,LC,P
Aporia crataegi,Aporia crataegi,BG,LC,P
Aporia crataegi,Aporia crataegi,BY,Unknown,P
Aporia crataegi,Aporia crataegi,CH,NT,P
Aporia crataegi,Aporia crataegi,CY,No Red List available,P
Aporia crataegi,Aporia crataegi,CZ,NE,P
Aporia crataegi,Aporia crataegi,DE,LC,P
Aporia crataegi,Aporia crataegi,DK,LC,P
Aporia crataegi,Aporia crataegi,EE,LC,P
Aporia crataegi,Aporia crataegi,ES,NE,P
Aporia crataegi,Aporia crataegi,FI,LC,P
Aporia crataegi,Aporia crataegi,FR,LC,P
Aporia crataegi,Aporia crataegi,GB,RE,Ex
Aporia crataegi,Aporia crataegi,GR,LC,P
Aporia crataegi,Aporia crataegi,HR,LC,P
Aporia crataegi,Aporia crataegi,HU,LC,P
Aporia crataegi,Aporia crataegi,IT,LC,P
Aporia crataegi,Aporia crataegi,LT,LC,P
Aporia crataegi,Aporia crataegi,LU,LC,P
Aporia crataegi,Aporia crataegi,LV,No Red List available,P
Aporia crataegi,Aporia crataegi,MD,No Red List available,P
Aporia crataegi,Aporia crataegi,ME,No Red List available,P
Aporia crataegi,Aporia crataegi,MK,Unknown,P
Aporia crataegi,Aporia crataegi,NL,RE,Ex
Aporia crataegi,Aporia crataegi,NO,EN,P
Aporia crataegi,Aporia crataegi,PL,LC,P
Aporia crataegi,Aporia crataegi,PT,No Red List available,P
Aporia crataegi,Aporia crataegi,RO,NT,P
Aporia crataegi,Aporia crataegi,RS,LC,P
Aporia crataegi,Aporia crataegi,RU,No Red List available,P
Aporia crataegi,Aporia crataegi,SE,LC,P
Aporia crataegi,Aporia crataegi,SI,LC,P
Aporia crataegi,Aporia crataegi,SK,VU,P
Aporia crataegi,Aporia crataegi,UA,LC,P
