"SpeciesnameEurope","Family","Subfamily","PhylogeneticOrder","AuthorYear","Genus","Species","EnglishName","RedListCategoryEurope","RedListCategoryEU","HabitatsDirective","SPECstatus","EuropeanEndemic","EUEndemic","Endemic","EdgeOfRange","Comments"
"Erebia sudetica","Nymphalidae","Satyrinae",477,"Staudinger, 1861","Erebia","sudetica","Sudeten Ringlet","VU","VU","IV","SPEC1","EuropeanEndemic",,,,
"Erebia triarius","Nymphalidae","Satyrinae",479,"(de Prunner, 1798)","Erebia","triarius","de Prunner's Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia tyndarus","Nymphalidae","Satyrinae",456,"(Esper, 1781)","Erebia","tyndarus","Swiss Brassy Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia zapateri","Nymphalidae","Satyrinae",495,"Oberthür, 1875","Erebia","zapateri","Zapater's Ringlet","LC","LC",,,"EuropeanEndemic","EUEndemic","Spain",,
"Erynnis marloyi","Hesperiidae","Pyrginae",46,"(Boisduval, 1834)","Erynnis","marloyi","Inky Skipper","LC","LC",,,,,,,
"Erynnis tages","Hesperiidae","Pyrginae",45,"(Linnaeus, 1758)","Erynnis","tages","Dingy Skipper","LC","LC",,,,,,,
"Euchloe ausonia","Pieridae","Pierinae",110,"(Hübner, 1804)","Euchloe","ausonia","Eastern Dappled White","LC","LC",,,,,,,
"Euchloe bazae","Pieridae","Pierinae",113,"Fabiano, 1993","Euchloe","bazae","Spanish Greenish Black-tip","VU","VU",,"SPEC1","EuropeanEndemic","EUEndemic","Spain",,
"Euchloe belemia","Pieridae","Pierinae",106,"(Esper, 1800)","Euchloe","belemia","Green-striped White","LC","LC",,,,,,,
"Euchloe charlonia","Pieridae","Pierinae",111,"(Donzel, 1842)","Euchloe","charlonia","Greenish Black-tip","LC","LC",,,,,,"EoR",
"Euchloe crameri","Pieridae","Pierinae",108,"Butler, 1869","Euchloe","crameri","Western Dappled White","LC","LC",,,,,,,
"Euchloe eversi","Pieridae","Pierinae",103,"Stamm, 1963","Euchloe","eversi","Tenerife Green-striped White","LC","LC",,,"EuropeanEndemic","EUEndemic","Canary Islands",,
"Euchloe grancanariensis","Pieridae","Pierinae",104,"Acosta, 2008","Euchloe","grancanariensis","Gran Canaria Green-striped White","LC","LC",,,"EuropeanEndemic","EUEndemic","Canary Islands",,
"Euchloe hesperidum","Pieridae","Pierinae",105,"Rothschild, 1913","Euchloe","hesperidum","Fuerteventura Green-striped White","LC","LC",,,"EuropeanEndemic","EUEndemic","Canary Islands",,
"Euchloe insularis","Pieridae","Pierinae",107,"(Staudinger, 1861)","Euchloe","insularis","Corsican Dappled White","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Euchloe penia","Pieridae","Pierinae",112,"(Freyer, 1851)","Euchloe","penia","Eastern Greenish Black-tip","LC","LC",,,,,,,
"Euchloe simplonia","Pieridae","Pierinae",109,"(Freyer, 1829)","Euchloe","simplonia","Mountain Dappled White","LC","LC",,,"EuropeanEndemic",,,,
"Euchloe tagis","Pieridae","Pierinae",102,"(Hübner, 1804)","Euchloe","tagis","Portuguese Dappled White","LC","LC",,,,,,,
"Eumedonia eumedon","Lycaenidae","Polyommatinae",203,"(Esper, 1780)","Eumedonia","eumedon","Geranium argus","LC","LC",,,,,,,
"Euphydryas aurinia","Nymphalidae","Melitaeinae",307,"(Rottemburg, 1775)","Euphydryas","aurinia","Marsh Fritillary","LC","LC","II","SPEC4",,,,,
"Euphydryas cynthia","Nymphalidae","Melitaeinae",308,"([Denis & Schiffermüller], 1775)","Euphydryas","cynthia","Cynthia's Fritillary","LC","LC",,,"EuropeanEndemic",,,,
"Euphydryas desfontainii","Nymphalidae","Melitaeinae",306,"(Godart, 1819)","Euphydryas","desfontainii","Spanish Fritillary","NT","NT",,"SPEC2",,,,,
"Euphydryas iduna","Nymphalidae","Melitaeinae",309,"(Dalman, 1816)","Euphydryas","iduna","Lapland Fritillary","NT","NT",,"SPEC2",,,,,
"Euphydryas intermedia","Nymphalidae","Melitaeinae",311,"(Ménétriés, 1859)","Euphydryas","intermedia","Asian Fritillary","LC","LC",,,,,,,
"Euphydryas maturna","Nymphalidae","Melitaeinae",310,"(Linnaeus, 1758)","Euphydryas","maturna","Scarce Fritillary","VU","LC","II+IV","SPEC1",,,,,
"Fabriciana adippe","Nymphalidae","Heliconiinae",267,"([Denis & Schiffermüller], 1775)","Fabriciana","adippe","High Brown Fritillary","LC","LC",,,,,,,
"Fabriciana elisa","Nymphalidae","Heliconiinae",265,"(Godart, 1823)","Fabriciana","elisa","Corsican Fritillary","LC","LC","IV",,"EuropeanEndemic","EUEndemic",,,
"Fabriciana niobe","Nymphalidae","Heliconiinae",266,"(Linnaeus, 1758)","Fabriciana","niobe","Niobe Fritillary","LC","NT",,"SPEC3",,,,,
"Favonius quercus","Lycaenidae","Theclinae",136,"(Linnaeus, 1758)","Favonius","quercus","Purple Hairstreak","LC","LC",,,,,,,
"Freyeria trochylus","Lycaenidae","Polyommatinae",190,"(Freyer, 1844)","Freyeria","trochylus","Grass Jewel","LC","LC",,,,,,,
"Gegenes nostrodamus","Hesperiidae","Hesperiinae",22,"(Fabricius, 1793)","Gegenes","nostrodamus","Mediterranean Skipper","LC","LC",,,,,,,
"Gegenes pumilio","Hesperiidae","Hesperiinae",21,"(Hoffmansegg, 1804)","Gegenes","pumilio","Pigmy Skipper","LC","LC",,,,,,,
"Glabroculus cyane","Lycaenidae","Polyommatinae",211,"(Eversmann, 1837)","Glabroculus","cyane","suggestion:","NtA","NtA",,,,,,"EoR",
"Glaucopsyche alexis","Lycaenidae","Polyommatinae",179,"(Poda, 1761)","Glaucopsyche","alexis","Green-underside Blue","LC","LC",,"SPEC3",,,,,
"Glaucopsyche melanops","Lycaenidae","Polyommatinae",177,"(Boisduval, 1828)","Glaucopsyche","melanops","Black-eyed Blue","LC","LC",,,,,,,
"Glaucopsyche paphos","Lycaenidae","Polyommatinae",178,"Chapman, 1920","Glaucopsyche","paphos","Paphos Blue","LC","LC",,,"EuropeanEndemic","EUEndemic","Cyprus",,
"Gonepteryx cleobule","Pieridae","Coliadinae",69,"(Hübner, 1831)","Gonepteryx","cleobule","Canary Brimstone","VU","VU",,"SPEC1","EuropeanEndemic","EUEndemic","Canary Islands",,
"Gonepteryx cleopatra","Pieridae","Coliadinae",70,"(Linnaeus, 1767)","Gonepteryx","cleopatra","Cleopatra","LC","LC",,,,,,,
"Gonepteryx farinosa","Pieridae","Coliadinae",72,"(Zeller, 1847)","Gonepteryx","farinosa","Powdered Brimstone","LC","LC",,,,,,,
"Gonepteryx maderensis","Pieridae","Coliadinae",71,"Felder, 1862","Gonepteryx","maderensis","Madeira Brimstone","EN","EN",,"SPEC1","EuropeanEndemic","EUEndemic","Madeira Islands",,
"Gonepteryx rhamni","Pieridae","Coliadinae",68,"(Linnaeus, 1758)","Gonepteryx","rhamni","Brimstone","LC","LC",,,,,,,
"Hamearis lucina","Riodinidae","Nemeobiinae",120,"(Linnaeus, 1758)","Hamearis","lucina","Duke Of Burgundy","LC","LC",,"SPEC3",,,,,
"Hesperia comma","Hesperiidae","Hesperiinae",24,"(Linnaeus, 1758)","Hesperia","comma","Silver-spotted Skipper","LC","LC",,"SPEC3",,,,,
"Heteropterus morpheus","Hesperiidae","Heteropterinae",16,"(Pallas, 1771)","Heteropterus","morpheus","Large Chequered Skipper","LC","LC",,,,,,,
"Hipparchia aristaeus","Nymphalidae","Satyrinae",386,"(Bonelli, 1826)","Hipparchia","aristaeus","Southern Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Hipparchia autonoe","Nymphalidae","Satyrinae",375,"(Esper, 1783)","Hipparchia","autonoe","suggestion:","LC","NE",,,,,,,
"Hipparchia azorina","Nymphalidae","Satyrinae",381,"(Strecker, 1899)","Hipparchia","azorina","Azores Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic","Azores",,
"Hipparchia bacchus","Nymphalidae","Satyrinae",369,"(Higgins, 1967)","Hipparchia","bacchus","El Hierro Grayling","VU","VU",,"SPEC1","EuropeanEndemic","EUEndemic","Canary Islands",,
"Hipparchia blachieri","Nymphalidae","Satyrinae",385,"(Fruhstorfer, 1908)","Hipparchia","blachieri","Sicilian Grayling",,,,,"EuropeanEndemic","EUEndemic",,,
"Hipparchia christenseni","Nymphalidae","Satyrinae",394,"Kudrna, 1977","Hipparchia","christenseni","Karpathos Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic","Greece - Karpathos",,
"Hipparchia cretica","Nymphalidae","Satyrinae",393,"(Rebel, 1916)","Hipparchia","cretica","Cretan Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic","Greece - Crete",,
"Hipparchia cypriensis","Nymphalidae","Satyrinae",392,"(Holik, 1949)","Hipparchia","cypriensis","Cyprus Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic","Cyprus",,
"Hipparchia fagi","Nymphalidae","Satyrinae",378,"(Scopoli, 1763)","Hipparchia","fagi","Woodland Grayling","NT","NT",,"SPEC2","EuropeanEndemic",,,,
"Hipparchia fatua","Nymphalidae","Satyrinae",366,"Freyer, 1843","Hipparchia","fatua","Freyer's Grayling","LC","LC",,,,,,,
"Hipparchia fidia","Nymphalidae","Satyrinae",373,"(Linnaeus, 1767)","Hipparchia","fidia","Striped Grayling","LC","LC",,,,,,,
"Hipparchia gomera","Nymphalidae","Satyrinae",372,"(Higgins, 1967)","Hipparchia","gomera","suggestion: La Gomera Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic","Canary Islands",,
"Hipparchia hermione","Nymphalidae","Satyrinae",376,"(Linnaeus, 1764)","Hipparchia","hermione","Rock Grayling","NT","NT",,"SPEC2",,,,,
"Hipparchia leighebi","Nymphalidae","Satyrinae",389,"Kudrna, 1976","Hipparchia","leighebi","Eolian Grayling","NT","NT",,"SPEC2","EuropeanEndemic","EUEndemic","Italy - Aeolian Islands",,
"Hipparchia maderensis","Nymphalidae","Satyrinae",383,"(Bethune-Baker, 1891)","Hipparchia","maderensis","Madeirean Grayling","LC","LC",,"SPEC3","EuropeanEndemic","EUEndemic","Madeira Islands",,
"Hipparchia mersina","Nymphalidae","Satyrinae",379,"(Staudinger, 1871)","Hipparchia","mersina","Samos Grayling","NtA","NtA",,,,,,"EoR",
"Hipparchia miguelensis","Nymphalidae","Satyrinae",380,"(Le Cerf, 1935)","Hipparchia","miguelensis","Le Cerf's Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic","Azores",,
"Hipparchia neapolitana","Nymphalidae","Satyrinae",388,"(Stauder, 1921)","Hipparchia","neapolitana","Italian Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic","Italy",,
"Hipparchia neomiris","Nymphalidae","Satyrinae",374,"(Godart, 1823)","Hipparchia","neomiris","Corsican Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Hipparchia pellucida","Nymphalidae","Satyrinae",390,"(Stauder, 1924)","Hipparchia","pellucida","Lesbos Grayling","LC","LC",,,,,,"EoR",
"Hipparchia sbordonii","Nymphalidae","Satyrinae",391,"Kudrna, 1984","Hipparchia","sbordonii","Ponza Grayling","NT","NT",,"SPEC2","EuropeanEndemic","EUEndemic","Italy - Ponza Islands",,
"Hipparchia semele","Nymphalidae","Satyrinae",384,"(Linnaeus, 1758)","Hipparchia","semele","Grayling","LC","LC",,,"EuropeanEndemic",,,,
"Hipparchia senthes","Nymphalidae","Satyrinae",382,"(Fruhstorfer, 1908)","Hipparchia","senthes","Balkan Grayling","LC","LC",,,,,,,
"Hipparchia statilinus","Nymphalidae","Satyrinae",367,"(Hufnagel, 1766)","Hipparchia","statilinus","Tree Grayling","NT","NT",,"SPEC2",,,,,
"Hipparchia syriaca","Nymphalidae","Satyrinae",377,"(Staudinger, 1871)","Hipparchia","syriaca","Eastern Rock Grayling","LC","LC",,,,,,,
"Hipparchia tamadabae","Nymphalidae","Satyrinae",371,"Owen & Smith, 1992","Hipparchia","tamadabae","suggestion: Gran Canaria Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic","Canary Islands",,
"Hipparchia tilosi","Nymphalidae","Satyrinae",368,"Manil, 1984","Hipparchia","tilosi","suggestion: La Palma Grayling","VU","VU",,"SPEC1","EuropeanEndemic","EUEndemic","Canary Islands",,
"Hipparchia volgensis","Nymphalidae","Satyrinae",387,"(Mazokhin-Porshnyakov, 1952)","Hipparchia","volgensis","Delattin's Grayling","LC","LC",,,"EuropeanEndemic",,,,
"Hipparchia wyssii","Nymphalidae","Satyrinae",370,"(Christ, 1889)","Hipparchia","wyssii","Tenerife Grayling","LC","LC",,,"EuropeanEndemic","EUEndemic","Canary Islands",,
"Hypolimnas misippus","Nymphalidae","Nymphalinae",305,"(Linnaeus, 1764)","Hypolimnas","misippus","False Plain Tiger",,,,,,,,"EoR",
"Hyponephele huebneri","Nymphalidae","Satyrinae",426,"Koçak, 1980","Hyponephele","huebneri","suggestion:","NtA","NtA",,,,,,"EoR",
"Hyponephele lupina","Nymphalidae","Satyrinae",428,"(Costa, 1836)","Hyponephele","lupina","Oriental Meadow Brown","LC","LC",,,,,,,
"Hyponephele lycaon","Nymphalidae","Satyrinae",427,"(Kühn, 1774)","Hyponephele","lycaon","Dusky Steppe Brown","LC","LC",,"SPEC3",,,,,
"Iolana debilitata","Lycaenidae","Polyommatinae",176,"(Schultz, 1905)","Iolana","debilitata","suggestion: Spanish Iolas Blue",,,,,,,,,
"Iolana iolas","Lycaenidae","Polyommatinae",175,"(Ochsenheimer, 1816)","Iolana","iolas","Iolas Blue","NT","NT",,"SPEC2",,,,,
"Iphiclides feisthamelii","Papilionidae","Papilioninae",2,"(Duponchel, 1832)","Iphiclides","feisthamelii","Iberian Scarce Swallowtail",,,,,,,,,
"Iphiclides podalirius","Papilionidae","Papilioninae",1,"(Linnaeus, 1758)","Iphiclides","podalirius","Scarce Swallowtail","LC","LC",,,,,,,
"Issoria eugenia","Nymphalidae","Heliconiinae",257,"(Eversmann, 1847)","Issoria","eugenia","suggestion:","NtA","NtA",,,,,,"EoR",
"Issoria lathonia","Nymphalidae","Heliconiinae",256,"(Linnaeus, 1758)","Issoria","lathonia","Queen of Spain Fritillary","LC","LC",,,,,,,
"Kirinia climene","Nymphalidae","Satyrinae",348,"(Esper, 1783)","Kirinia","climene","Lesser Lattice Brown","LC","LC",,,,,,,
"Kirinia roxelana","Nymphalidae","Satyrinae",347,"(Cramer, 1777)","Kirinia","roxelana","Lattice Brown","LC","LC",,,,,,,
"Kretania eurypilus","Lycaenidae","Polyommatinae",206,"(Freyer, 1851)","Kretania","eurypilus","Eastern Brown Argus","NtA","NtA",,,,,,"EoR",
"Kretania hesperica","Lycaenidae","Polyommatinae",205,"(Rambur, 1839)","Kretania","hesperica","Spanish Zephyr Blue","LC","LC",,"SPEC4","EuropeanEndemic","EUEndemic","Spain",,
"Kretania psylorita","Lycaenidae","Polyommatinae",204,"(Freyer, 1845)","Kretania","psylorita","Cretan Argus","LC","LC",,,"EuropeanEndemic","EUEndemic","Greece - Crete",,
"Kretania pylaon","Lycaenidae","Polyommatinae",209,"(Fischer, 1832)","Kretania","pylaon","Fischer's Blue","NT","NE",,"SPEC2",,,,,
"Kretania sephirus","Lycaenidae","Polyommatinae",208,"(Frivaldszky, 1835)","Kretania","sephirus","Zephyr Blue","LC","LC",,"SPEC4",,,,,
"Kretania trappi","Lycaenidae","Polyommatinae",207,"(Verity, 1927)","Kretania","trappi","Alpine Zephyr Blue","NT","LC",,"SPEC2","EuropeanEndemic",,,,
"Laeosopis roboris","Lycaenidae","Theclinae",137,"(Esper, 1789)","Laeosopis","roboris","Spanish Purple Hairstreak","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Lampides boeticus","Lycaenidae","Polyommatinae",157,"(Linnaeus, 1767)","Lampides","boeticus","Long-tailed Blue","LC","LC",,,,,,,
"Lasiommata deidamia","Nymphalidae","Satyrinae",354,"(Eversmann, 1851)","Lasiommata","deidamia","suggestion:","NtA","NtA",,,,,,"EoR",
"Lasiommata maera","Nymphalidae","Satyrinae",353,"(Linnaeus, 1758)","Lasiommata","maera","Large Wall Brown","LC","LC",,,,,,,
"Lasiommata megera","Nymphalidae","Satyrinae",357,"(Linnaeus, 1767)","Lasiommata","megera","Wall Brown","LC","LC",,,,,,,
"Lasiommata paramegaera","Nymphalidae","Satyrinae",356,"(Hübner, 1824)","Lasiommata","paramegaera","Corsican Wall Brown","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Lasiommata petropolitana","Nymphalidae","Satyrinae",355,"(Fabricius, 1787)","Lasiommata","petropolitana","Northern Wall Brown","LC","LC",,,,,,,
"Leptidea duponcheli","Pieridae","Dismorphiinae",63,"(Staudinger, 1871)","Leptidea","duponcheli","Eastern Wood White","LC","LC",,,,,,,
"Leptidea juvernica","Pieridae","Dismorphiinae",65,"Williams, 1946","Leptidea","juvernica","Cryptic Wood White",,,,,,,,,
"Leptidea morsei","Pieridae","Dismorphiinae",64,"(Fenton, 1882)","Leptidea","morsei","Fenton's Wood White","NT","EN","II+IV","SPEC2",,,,,
"Leptidea reali","Pieridae","Dismorphiinae",67,"Reissinger, 1990","Leptidea","reali","Réal's Wood White","LC","LC",,,,,,,
"Leptidea sinapis","Pieridae","Dismorphiinae",66,"(Linnaeus, 1758)","Leptidea","sinapis","Wood White","LC","LC",,,,,,,
"Leptotes pirithous","Lycaenidae","Polyommatinae",153,"(Linnaeus, 1767)","Leptotes","pirithous","Lang's Short-tailed Blue","LC","LC",,,,,,,
"Libythea celtis","Nymphalidae","Libytheinae",328,"(Laicharting, 1782)","Libythea","celtis","Nettle-tree Butterfly","LC","LC",,,,,,,
"Limenitis camilla","Nymphalidae","Limenitidinae",255,"(Linnaeus, 1764)","Limenitis","camilla","White Admiral","LC","LC",,,,,,,
"Limenitis populi","Nymphalidae","Limenitidinae",254,"(Linnaeus, 1758)","Limenitis","populi","Poplar Admiral","LC","NT",,,,,,,
"Limenitis reducta","Nymphalidae","Limenitidinae",253,"Staudinger, 1901","Limenitis","reducta","Southern White Admiral","LC","LC",,,,,,,
"Lopinga achine","Nymphalidae","Satyrinae",349,"(Scopoli, 1763)","Lopinga","achine","Woodland Brown","VU","VU","IV","SPEC1",,,,,
"Luthrodes galba","Lycaenidae","Polyommatinae",189,"(Lederer, 1855)","Luthrodes","galba","Small Desert Blue","NtA","NtA",,,,,,"EoR",
"Lycaena alciphron","Lycaenidae","Lycaeninae",123,"(Rottemburg, 1775)","Lycaena","alciphron","Purple-shot Copper","LC","NT",,,,,,,
"Lycaena bleusei","Lycaenidae","Lycaeninae",130,"(Oberthür, 1884)","Lycaena","bleusei","Iberian Sooty Copper","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Lycaena candens","Lycaenidae","Lycaeninae",128,"(Herrich-Schäffer, 1844)","Lycaena","candens","Balkan Copper","LC","LC",,,,,,,
"Lycaena dimorpha","Lycaenidae","Lycaeninae",121,"(Staudinger, 1881)","Lycaena","dimorpha","suggestion:","NtA","NtA",,,,,,"EoR",
"Lycaena dispar","Lycaenidae","Lycaeninae",126,"([Haworth], 1802)","Lycaena","dispar","Large Copper","LC","LC","II+IV",,,,,,
"Lycaena helle","Lycaenidae","Lycaeninae",122,"([Denis & Schiffermüller], 1775)","Lycaena","helle","Violet Copper","EN","LC","II+IV","SPEC1",,,,,
"Lycaena hippothoe","Lycaenidae","Lycaeninae",127,"(Linnaeus, 1760)","Lycaena","hippothoe","Purple-edged Copper","LC","NT",,"SPEC3",,,,,
"Lycaena ottomana","Lycaenidae","Lycaeninae",129,"(Lefèbvre, 1831)","Lycaena","ottomana","Grecian Copper","LC","LC",,,,,,,
"Lycaena phlaeas","Lycaenidae","Lycaeninae",131,"(Linnaeus, 1760)","Lycaena","phlaeas","Small Copper","LC","LC",,,,,,,
"Lycaena thersamon","Lycaenidae","Lycaeninae",125,"(Esper, 1784)","Lycaena","thersamon","Lesser Fiery Copper","LC","LC",,"SPEC3",,,,,
"Lycaena thetis","Lycaenidae","Lycaeninae",124,"Klug, 1834","Lycaena","thetis","Fiery Copper","NtA","NtA",,,,,,"EoR",
"Lycaena tityrus","Lycaenidae","Lycaeninae",133,"(Poda, 1761)","Lycaena","tityrus","Sooty Copper","LC","LC",,,,,,,
"Lycaena virgaureae","Lycaenidae","Lycaeninae",132,"(Linnaeus, 1758)","Lycaena","virgaureae","Scarce Copper","LC","LC",,,,,,,
"Lysandra albicans","Lycaenidae","Polyommatinae",225,"(Gerhard, 1851)","Lysandra","albicans","Spanish Chalkhill Blue","LC","LC",,,,,,,
"Lysandra bellargus","Lycaenidae","Polyommatinae",222,"(Rottemburg, 1775)","Lysandra","bellargus","Adonis Blue","LC","LC",,,,,,,
"Lysandra caelestissima","Lycaenidae","Polyommatinae",224,"(Verity, 1921)","Lysandra","caelestissima","Azure Chalkhill Blue","LC","LC",,,"EuropeanEndemic","EUEndemic","Spain",,
"Lysandra coridon","Lycaenidae","Polyommatinae",223,"(Poda, 1761)","Lysandra","coridon","Chalkhill Blue","LC","LC",,,"EuropeanEndemic",,,,
"Lysandra corydonius","Lycaenidae","Polyommatinae",221,"(Herrich-Schäffer, 1852)","Lysandra","corydonius","Caucasian Blue","LC","NE",,,,,,,
"Lysandra hispana","Lycaenidae","Polyommatinae",220,"(Herrich-Schäffer, 1851)","Lysandra","hispana","Provence Chalkhill Blue","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Maniola chia","Nymphalidae","Satyrinae",435,"Thomson, 1987","Maniola","chia","Chios Meadow Brown","LC","LC",,,"EuropeanEndemic","EUEndemic","Greece - Chios",,
"Maniola cypricola","Nymphalidae","Satyrinae",437,"(Graves, 1928)","Maniola","cypricola","Cyprus Meadow Brown","LC","LC",,,"EuropeanEndemic","EUEndemic","Cyprus",,
"Maniola halicarnassus","Nymphalidae","Satyrinae",439,"Thomson, 1990","Maniola","halicarnassus","Thomson's Meadow Brown","NT","NT",,"SPEC2",,,,,
"Maniola jurtina","Nymphalidae","Satyrinae",433,"(Linnaeus, 1758)","Maniola","jurtina","Meadow Brown","LC","LC",,,,,,,
"Maniola megala","Nymphalidae","Satyrinae",436,"(Oberthür, 1909)","Maniola","megala","Turkish Meadow Brown","NtA","NtA",,,,,,"EoR",
"Maniola nurag","Nymphalidae","Satyrinae",434,"(Ghiliani, 1852)","Maniola","nurag","Sardinian Meadow Brown","LC","LC",,,"EuropeanEndemic","EUEndemic","Italy - Sardinia",,
"Maniola telmessia","Nymphalidae","Satyrinae",438,"(Zeller, 1847)","Maniola","telmessia","Aegean Meadow Brown","LC","LC",,,,,,,
"Melanargia arge","Nymphalidae","Satyrinae",363,"(Sulzer, 1776)","Melanargia","arge","Italian Marbled White","LC","LC","II+IV",,"EuropeanEndemic","EUEndemic","Italy",,
"Melanargia galathea","Nymphalidae","Satyrinae",361,"(Linnaeus, 1758)","Melanargia","galathea","Marbled White","LC","LC",,,,,,,
"Melanargia ines","Nymphalidae","Satyrinae",362,"(Hoffmansegg, 1804)","Melanargia","ines","Spanish Marbled White","LC","LC",,,,,,,
"Melanargia lachesis","Nymphalidae","Satyrinae",360,"(Hübner, 1790)","Melanargia","lachesis","Iberian Marbled White","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Melanargia larissa","Nymphalidae","Satyrinae",359,"(Geyer, 1828)","Melanargia","larissa","Balkan Marbled White","LC","LC",,,,,,,
"Melanargia occitanica","Nymphalidae","Satyrinae",365,"(Esper, 1793)","Melanargia","occitanica","Western Marbled White","LC","LC",,"SPEC3",,,,,
"Melanargia pherusa","Nymphalidae","Satyrinae",364,"(Boisduval, 1833)","Melanargia","pherusa","Sicilian Marbled White","LC","LC",,,"EuropeanEndemic","EUEndemic","Italy - Sicily",,
"Melanargia russiae","Nymphalidae","Satyrinae",358,"(Esper, 1783)","Melanargia","russiae","Esper's Marbled White","LC","LC",,,,,,,
"Melitaea aetherie","Nymphalidae","Melitaeinae",315,"(Hübner, 1826)","Melitaea","aetherie","Aetherie Fritillary","LC","LC",,,,,,,
"Melitaea arduinna","Nymphalidae","Melitaeinae",314,"(Esper, 1783)","Melitaea","arduinna","Freyer's Fritillary","LC","LC",,,,,,,
"Melitaea asteria","Nymphalidae","Melitaeinae",327,"Freyer, 1828","Melitaea","asteria","Little Fritillary","LC","LC",,"SPEC3","EuropeanEndemic",,,,
"Melitaea athalia","Nymphalidae","Melitaeinae",323,"(Rottemburg, 1775)","Melitaea","athalia","Heath Fritillary","LC","LC",,,,,,,
"Melitaea aurelia","Nymphalidae","Melitaeinae",326,"Nickerl, 1850","Melitaea","aurelia","Nickerl's Fritillary","NT","LC",,"SPEC2",,,,,
"Melitaea britomartis","Nymphalidae","Melitaeinae",322,"Assmann, 1847","Melitaea","britomartis","Assmann's Fritillary","NT","NT",,"SPEC2",,,,,
"Melitaea celadussa","Nymphalidae","Melitaeinae",320,"Fruhstorfer, 1910","Melitaea","celadussa","Oberthür's Fritillary",,,,,"EuropeanEndemic",,,,
"Melitaea cinxia","Nymphalidae","Melitaeinae",318,"(Linnaeus, 1758)","Melitaea","cinxia","Glanville Fritillary","LC","LC",,,,,,,
"Melitaea deione","Nymphalidae","Melitaeinae",321,"(Geyer, 1832)","Melitaea","deione","Provençal Fritillary","LC","LC",,,,,,,
"Melitaea diamina","Nymphalidae","Melitaeinae",319,"(Lang, 1789)","Melitaea","diamina","False Heath Fritillary","LC","NT",,,,,,,
"Melitaea didyma","Nymphalidae","Melitaeinae",313,"(Esper, 1778)","Melitaea","didyma","Spotted Fritillary","LC","LC",,,,,,,
"Melitaea ornata","Nymphalidae","Melitaeinae",317,"Christoph, 1893","Melitaea","ornata","Eastern Knapweed Fritillary",,,,,,,,,
"Melitaea parthenoides","Nymphalidae","Melitaeinae",325,"Keferstein, 1851","Melitaea","parthenoides","Meadow Fritillary","LC","LC",,"SPEC4","EuropeanEndemic",,,,
"Melitaea phoebe","Nymphalidae","Melitaeinae",316,"([Denis & Schiffermüller], 1775)","Melitaea","phoebe","Knapweed Fritillary","LC","LC",,,,,,,
"Melitaea trivia","Nymphalidae","Melitaeinae",312,"([Denis & Schiffermüller], 1775)","Melitaea","trivia","Lesser Spotted Fritillary","LC","NT",,,,,,,
"Melitaea varia","Nymphalidae","Melitaeinae",324,"Herrich-Schäffer, 1851","Melitaea","varia","Grisons Fritillary","LC","LC",,,"EuropeanEndemic",,,,
"Minois dryas","Nymphalidae","Satyrinae",395,"(Scopoli, 1763)","Minois","dryas","Dryad","LC","LC",,,,,,,
"Muschampia cribrellum","Hesperiidae","Pyrginae",37,"(Eversmann, 1841)","Muschampia","cribrellum","Spinose Skipper","NT","NT",,"SPEC2",,,,,
"Muschampia proto","Hesperiidae","Pyrginae",39,"(Ochsenheimer, 1808)","Muschampia","proto","Sage Skipper","LC","LC",,,,,,,
"Muschampia tessellum","Hesperiidae","Pyrginae",38,"(Hübner, 1803)","Muschampia","tessellum","Tesselated Skipper","LC","LC",,,,,,,
"Neolycaena rhymnus","Lycaenidae","Theclinae",145,"(Eversmann, 1832)","Neolycaena","rhymnus","suggestion:","LC","NE",,"SPEC3",,,,,
"Neolysandra coelestina","Lycaenidae","Polyommatinae",219,"(Eversmann, 1843)","Neolysandra","coelestina","Pontic Blue","LC","LC",,,,,,"EoR",
"Neptis rivularis","Nymphalidae","Limenitidinae",252,"(Scopoli, 1763)","Neptis","rivularis","Hungarian Glider","LC","LC",,,,,,,
"Neptis sappho","Nymphalidae","Limenitidinae",251,"(Pallas, 1771)","Neptis","sappho","Common Glider","LC","LC",,,,,,,
"Nymphalis antiopa","Nymphalidae","Nymphalinae",304,"(Linnaeus, 1758)","Nymphalis","antiopa","Camberwell Beauty","LC","LC",,,,,,,
