"SpeciesnameLocal";"SpeciesnameEurope";"CountryCode";"RedListCategory";"Endemic"
"Coenonympha arcania";"Coenonympha arcania";"AT";"LC";
"Coenonympha arcania";"Coenonympha arcania";"BA";"LC";
"Coenonympha arcania";"Coenonympha arcania";"BE";"VU";
"Coenonympha arcania";"Coenonympha arcania";"BG";"LC";
"Coenonympha arcania";"Coenonympha arcania";"CH";"NT";
"Coenonympha arcania";"Coenonympha arcania";"CZ";"LC";
"Coenonympha arcania";"Coenonympha arcania";"DE";"LC";
"Coenonympha arcania";"Coenonympha arcania";"DK";"RE";
"Coenonympha arcania";"Coenonympha arcania";"EE";"No Red List available";
"Coenonympha arcania";"Coenonympha arcania";"ES";"Unknown";
"Coenonympha arcania";"Coenonympha arcania";"FR";"LC";
"Coenonympha arcania";"Coenonympha arcania";"GR";"LC";
"Coenonympha arcania";"Coenonympha arcania";"HR";"LC";
"Coenonympha arcania";"Coenonympha arcania";"HU";"LC";
"Coenonympha arcania";"Coenonympha arcania";"IT";"LC";
"Coenonympha arcania";"Coenonympha arcania";"LT";"Unknown";
"Coenonympha arcania";"Coenonympha arcania";"LU";"LC";
"Coenonympha arcania";"Coenonympha arcania";"LV";"No Red List available";
"Coenonympha arcania";"Coenonympha arcania";"ME";"No Red List available";
"Coenonympha arcania";"Coenonympha arcania";"MK";"Unknown";
"Coenonympha arcania";"Coenonympha arcania";"NL";"RE";
"Coenonympha arcania";"Coenonympha arcania";"NO";"LC";
"Coenonympha arcania";"Coenonympha arcania";"PL";"LC";
"Coenonympha arcania";"Coenonympha arcania";"PT";"No Red List available";
"Coenonympha arcania";"Coenonympha arcania";"RO";"No Red List available";
"Coenonympha arcania";"Coenonympha arcania";"RS";"VU";
"Coenonympha arcania";"Coenonympha arcania";"RU";"No Red List available";
"Coenonympha arcania";"Coenonympha arcania";"SE";"LC";
"Coenonympha arcania";"Coenonympha arcania";"SI";"LC";
"Coenonympha arcania";"Coenonympha arcania";"SK";"LC";
"Coenonympha corinna";"Coenonympha corinna";"FR";"LC";
"Coenonympha corinna";"Coenonympha corinna";"IT";"LC";
"Coenonympha darwiniana";"Coenonympha gardetta";"CH";"LC";
"Coenonympha darwiniana";"Coenonympha gardetta";"IT";"LC";
"Coenonympha dorus";"Coenonympha dorus";"AD";"NT";
"Coenonympha dorus";"Coenonympha dorus";"CH";"NtA";
"Coenonympha dorus";"Coenonympha dorus";"ES";"Unknown";
"Coenonympha dorus";"Coenonympha dorus";"FR";"LC";
"Coenonympha dorus";"Coenonympha dorus";"IT";"LC";
"Coenonympha dorus";"Coenonympha dorus";"PT";"No Red List available";
"Coenonympha elbana";"Coenonympha corinna";"IT";"LC";
"Coenonympha gardetta";"Coenonympha gardetta";"AT";"LC";
"Coenonympha gardetta";"Coenonympha gardetta";"CH";"LC";
"Coenonympha gardetta";"Coenonympha gardetta";"DE";"R";
"Coenonympha gardetta";"Coenonympha gardetta";"FR";"LC";
"Coenonympha gardetta";"Coenonympha gardetta";"IT";"LC";
"Coenonympha gardetta";"Coenonympha gardetta";"LI";"No Red List available";
"Coenonympha gardetta";"Coenonympha gardetta";"SI";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"AD";"EN";
"Coenonympha glycerion";"Coenonympha glycerion";"AL";"Unknown";
"Coenonympha glycerion";"Coenonympha glycerion";"AT";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"BA";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"BE";"RE";
"Coenonympha glycerion";"Coenonympha glycerion";"BG";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"CH";"EN";
"Coenonympha glycerion";"Coenonympha glycerion";"CZ";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"DE";"NT";
"Coenonympha glycerion";"Coenonympha glycerion";"EE";"No Red List available";
"Coenonympha glycerion";"Coenonympha glycerion";"ES";"Unknown";
"Coenonympha glycerion";"Coenonympha glycerion";"FI";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"FR";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"GR";"NT";
"Coenonympha glycerion";"Coenonympha glycerion";"HR";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"HU";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"IT";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"LI";"No Red List available";
"Coenonympha glycerion";"Coenonympha glycerion";"LT";"Unknown";
"Coenonympha glycerion";"Coenonympha glycerion";"LU";"DD";
"Coenonympha glycerion";"Coenonympha glycerion";"LV";"No Red List available";
"Coenonympha glycerion";"Coenonympha glycerion";"ME";"No Red List available";
"Coenonympha glycerion";"Coenonympha glycerion";"MK";"Unknown";
"Coenonympha glycerion";"Coenonympha glycerion";"PL";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"RO";"No Red List available";
"Coenonympha glycerion";"Coenonympha glycerion";"RS";"NT";
"Coenonympha glycerion";"Coenonympha glycerion";"RU";"No Red List available";
"Coenonympha glycerion";"Coenonympha glycerion";"SI";"LC";
"Coenonympha glycerion";"Coenonympha glycerion";"SK";"LC";
"Coenonympha hero";"Coenonympha hero";"AT";"DD";
"Coenonympha hero";"Coenonympha hero";"BE";"RE";
"Coenonympha hero";"Coenonympha hero";"CH";"CR";
"Coenonympha hero";"Coenonympha hero";"CZ";"RE";
"Coenonympha hero";"Coenonympha hero";"DE";"EN";
"Coenonympha hero";"Coenonympha hero";"DK";"RE";
"Coenonympha hero";"Coenonympha hero";"EE";"No Red List available";
"Coenonympha hero";"Coenonympha hero";"FI";"Unknown";
"Coenonympha hero";"Coenonympha hero";"FR";"CR";
"Coenonympha hero";"Coenonympha hero";"LT";"Unknown";
"Coenonympha hero";"Coenonympha hero";"LU";"RE";
"Coenonympha hero";"Coenonympha hero";"LV";"No Red List available";
"Coenonympha hero";"Coenonympha hero";"NL";"RE";
"Coenonympha hero";"Coenonympha hero";"NO";"EN";
"Coenonympha hero";"Coenonympha hero";"PL";"EN";
"Coenonympha hero";"Coenonympha hero";"RU";"No Red List available";
"Coenonympha hero";"Coenonympha hero";"SE";"NT";
"Coenonympha hero";"Coenonympha hero";"SK";"RE";
"Coenonympha iphioides";"Coenonympha glycerion";"PT";"No Red List available";
"Coenonympha leander";"Coenonympha leander";"AL";"Unknown";
"Coenonympha leander";"Coenonympha leander";"BG";"LC";
"Coenonympha leander";"Coenonympha leander";"GR";"LC";
"Coenonympha leander";"Coenonympha leander";"MK";"Unknown";
"Coenonympha leander";"Coenonympha leander";"RO";"No Red List available";
"Coenonympha leander";"Coenonympha leander";"RS";"VU";
"Coenonympha leander";"Coenonympha leander";"RU";"No Red List available";
"Coenonympha lyllus";"Coenonympha pamphilus";"IT";"LC";
"Coenonympha oedippus";"Coenonympha oedippus";"AT";"CR";
"Coenonympha oedippus";"Coenonympha oedippus";"BG";"RE";
"Coenonympha oedippus";"Coenonympha oedippus";"BY";"VU";
"Coenonympha oedippus";"Coenonympha oedippus";"CH";"CR";
"Coenonympha oedippus";"Coenonympha oedippus";"DE";"CR";
"Coenonympha oedippus";"Coenonympha oedippus";"FR";"NT";
"Coenonympha oedippus";"Coenonympha oedippus";"HR";"CR";
"Coenonympha oedippus";"Coenonympha oedippus";"HU";"EN";
"Coenonympha oedippus";"Coenonympha oedippus";"IT";"LC";
"Coenonympha oedippus";"Coenonympha oedippus";"LI";"No Red List available";
"Coenonympha oedippus";"Coenonympha oedippus";"PL";"CR";
"Coenonympha oedippus";"Coenonympha oedippus";"RU";"No Red List available";
"Coenonympha oedippus";"Coenonympha oedippus";"SI";"EN";
"Coenonympha oedippus";"Coenonympha oedippus";"SK";"RE";
"Coenonympha oedippus";"Coenonympha oedippus";"UA";"No Red List available";
"Coenonympha orientalis";"Coenonympha orientalis";"AL";"Unknown";
"Coenonympha orientalis";"Coenonympha orientalis";"BA";"EN";
"Coenonympha orientalis";"Coenonympha orientalis";"GR";"Unknown";
"Coenonympha orientalis";"Coenonympha orientalis";"ME";"No Red List available";
"Coenonympha orientalis";"Coenonympha orientalis";"RS";"Unknown";
"Coenonympha pamphilus";"Coenonympha pamphilus";"AD";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"AL";"Unknown";
"Coenonympha pamphilus";"Coenonympha pamphilus";"AT";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"BA";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"BE";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"BG";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"CH";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"CZ";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"DE";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"DK";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"EE";"No Red List available";
"Coenonympha pamphilus";"Coenonympha pamphilus";"ES";"Unknown";
"Coenonympha pamphilus";"Coenonympha pamphilus";"FI";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"FR";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"GB";"NT";
"Coenonympha pamphilus";"Coenonympha pamphilus";"GR";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"HR";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"HU";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"IE";"NT";
"Coenonympha pamphilus";"Coenonympha pamphilus";"IT";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"LI";"No Red List available";
"Coenonympha pamphilus";"Coenonympha pamphilus";"LT";"Unknown";
"Coenonympha pamphilus";"Coenonympha pamphilus";"LU";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"LV";"No Red List available";
"Coenonympha pamphilus";"Coenonympha pamphilus";"ME";"No Red List available";
"Coenonympha pamphilus";"Coenonympha pamphilus";"MK";"Unknown";
"Coenonympha pamphilus";"Coenonympha pamphilus";"MT";"No Red List available";
"Coenonympha pamphilus";"Coenonympha pamphilus";"NL";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"NO";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"PL";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"PT";"No Red List available";
"Coenonympha pamphilus";"Coenonympha pamphilus";"RO";"No Red List available";
"Coenonympha pamphilus";"Coenonympha pamphilus";"RS";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"RU";"No Red List available";
"Coenonympha pamphilus";"Coenonympha pamphilus";"SE";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"SI";"LC";
"Coenonympha pamphilus";"Coenonympha pamphilus";"SK";"LC";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"AL";"VU";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"BA";"LC";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"BG";"NT";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"GR";"LC";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"HR";"LC";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"IT";"LC";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"ME";"No Red List available";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"MK";"Unknown";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"RO";"No Red List available";
"Coenonympha rhodopensis";"Coenonympha rhodopensis";"RS";"NT";
"Coenonympha thyrsis";"Coenonympha thyrsis";"GR";"LC";"Endemic (Greece)"
"Coenonympha tullia";"Coenonympha tullia";"AT";"VU";
"Coenonympha tullia";"Coenonympha tullia";"BA";"CR";
"Coenonympha tullia";"Coenonympha tullia";"BE";"CR";
"Coenonympha tullia";"Coenonympha tullia";"CH";"CR";
"Coenonympha tullia";"Coenonympha tullia";"CZ";"CR";
"Coenonympha tullia";"Coenonympha tullia";"DE";"EN";
"Coenonympha tullia";"Coenonympha tullia";"DK";"EN";
"Coenonympha tullia";"Coenonympha tullia";"EE";"No Red List available";
"Coenonympha tullia";"Coenonympha tullia";"FI";"LC";
"Coenonympha tullia";"Coenonympha tullia";"FR";"EN";
"Coenonympha tullia";"Coenonympha tullia";"GB";"VU";
"Coenonympha tullia";"Coenonympha tullia";"HU";"RE";
"Coenonympha tullia";"Coenonympha tullia";"IE";"VU";
"Coenonympha tullia";"Coenonympha tullia";"LT";"Unknown";
"Coenonympha tullia";"Coenonympha tullia";"LV";"No Red List available";
"Coenonympha tullia";"Coenonympha tullia";"NL";"CR";
"Coenonympha tullia";"Coenonympha tullia";"NO";"LC";
"Coenonympha tullia";"Coenonympha tullia";"PL";"VU";
"Coenonympha tullia";"Coenonympha tullia";"RO";"No Red List available";
"Coenonympha tullia";"Coenonympha tullia";"RU";"No Red List available";
"Coenonympha tullia";"Coenonympha tullia";"SE";"LC";
"Coenonympha tullia";"Coenonympha tullia";"SI";"EN";
"Coenonympha tullia";"Coenonympha tullia";"SK";"EN";
"Colias alfacariensis";"Colias alfacariensis";"AD";"LC";
"Colias alfacariensis";"Colias alfacariensis";"AL";"VU";
"Colias alfacariensis";"Colias alfacariensis";"AT";"NT";
"Colias alfacariensis";"Colias alfacariensis";"BA";"LC";
"Colias alfacariensis";"Colias alfacariensis";"BE";"VU";
"Colias alfacariensis";"Colias alfacariensis";"BG";"LC";
"Colias alfacariensis";"Colias alfacariensis";"CH";"LC";
"Colias alfacariensis";"Colias alfacariensis";"CZ";"LC";
"Colias alfacariensis";"Colias alfacariensis";"DE";"LC";
"Colias alfacariensis";"Colias alfacariensis";"ES";"Unknown";
"Colias alfacariensis";"Colias alfacariensis";"FR";"LC";
"Colias alfacariensis";"Colias alfacariensis";"GR";"LC";
"Colias alfacariensis";"Colias alfacariensis";"HR";"LC";
"Colias alfacariensis";"Colias alfacariensis";"HU";"LC";
"Colias alfacariensis";"Colias alfacariensis";"IT";"LC";
"Colias alfacariensis";"Colias alfacariensis";"LI";"No Red List available";
"Colias alfacariensis";"Colias alfacariensis";"LT";"Unknown";
"Colias alfacariensis";"Colias alfacariensis";"LU";"NT";
"Colias alfacariensis";"Colias alfacariensis";"MD";"No Red List available";
"Colias alfacariensis";"Colias alfacariensis";"ME";"No Red List available";
"Colias alfacariensis";"Colias alfacariensis";"MK";"Unknown";
"Colias alfacariensis";"Colias alfacariensis";"PL";"LC";
"Colias alfacariensis";"Colias alfacariensis";"PT";"No Red List available";
"Colias alfacariensis";"Colias alfacariensis";"RO";"No Red List available";
"Colias alfacariensis";"Colias alfacariensis";"RS";"DD";
"Colias alfacariensis";"Colias alfacariensis";"RU";"No Red List available";
"Colias alfacariensis";"Colias alfacariensis";"SI";"LC";
"Colias alfacariensis";"Colias alfacariensis";"SK";"LC";
"Colias alfacariensis";"Colias alfacariensis";"UA";"No Red List available";
"Colias aurorina";"Colias aurorina";"AL";"Unknown";
"Colias aurorina";"Colias aurorina";"GR";"LC";
"Colias caucasica";"Colias caucasica";"BG";"VU";
"Colias caucasica";"Colias caucasica";"GR";"NT";
"Colias caucasica";"Colias caucasica";"HR";"Unknown";
"Colias caucasica";"Colias caucasica";"ME";"No Red List available";
"Colias caucasica";"Colias caucasica";"MK";"Unknown";
"Colias caucasica";"Colias caucasica";"RS";"EN";
"Colias caucasica balcanica";"Colias caucasica";"BA";"VU";
"Colias chrysotheme";"Colias chrysotheme";"AT";"CR";
"Colias chrysotheme";"Colias chrysotheme";"CZ";"RE";
"Colias chrysotheme";"Colias chrysotheme";"HU";"VU";
"Colias chrysotheme";"Colias chrysotheme";"MD";"No Red List available";
"Colias chrysotheme";"Colias chrysotheme";"RO";"No Red List available";
"Colias chrysotheme";"Colias chrysotheme";"RU";"No Red List available";
"Colias chrysotheme";"Colias chrysotheme";"SK";"EN";
"Colias chrysotheme";"Colias chrysotheme";"UA";"No Red List available";
"Colias crocea";"Colias croceus";"AD";"LC";
"Colias crocea";"Colias croceus";"BE";"LC";
"Colias crocea";"Colias croceus";"BY";"Unknown";
"Colias crocea";"Colias croceus";"CY";"No Red List available";
"Colias crocea";"Colias croceus";"CZ";"LC";
"Colias crocea";"Colias croceus";"DE";"LC";
"Colias crocea";"Colias croceus";"ES";"Unknown";
"Colias crocea";"Colias croceus";"FR";"LC";
"Colias crocea";"Colias croceus";"GB";"LC";
"Colias crocea";"Colias croceus";"GR";"LC";
"Colias crocea";"Colias croceus";"HR";"LC";
"Colias crocea";"Colias croceus";"IT";"LC";
"Colias crocea";"Colias croceus";"LI";"No Red List available";
"Colias crocea";"Colias croceus";"LT";"Unknown";
"Colias crocea";"Colias croceus";"MA_AZ";"No Red List available";
"Colias crocea";"Colias croceus";"MA_CA";"No Red List available";
"Colias crocea";"Colias croceus";"MA_MA";"No Red List available";
"Colias crocea";"Colias croceus";"MD";"No Red List available";
"Colias crocea";"Colias croceus";"RS";"LC";
"Colias crocea";"Colias croceus";"UA";"No Red List available";
"Colias croceus";"Colias croceus";"AL";"Unknown";
"Colias croceus";"Colias croceus";"AT";"NE";
"Colias croceus";"Colias croceus";"BA";"LC";
"Colias croceus";"Colias croceus";"BG";"LC";
"Colias croceus";"Colias croceus";"CH";"LC";
"Colias croceus";"Colias croceus";"DK";"NtA";
"Colias croceus";"Colias croceus";"EE";"No Red List available";
"Colias croceus";"Colias croceus";"FI";"Unknown";
"Colias croceus";"Colias croceus";"HU";"LC";
"Colias croceus";"Colias croceus";"IE";"LC";
"Colias croceus";"Colias croceus";"LU";"LC";
"Colias croceus";"Colias croceus";"LV";"No Red List available";
"Colias croceus";"Colias croceus";"ME";"No Red List available";
"Colias croceus";"Colias croceus";"MK";"Unknown";
"Colias croceus";"Colias croceus";"MT";"No Red List available";
"Colias croceus";"Colias croceus";"NL";"NE";
"Colias croceus";"Colias croceus";"NO";"NtA";
"Colias croceus";"Colias croceus";"PL";"LC";
"Colias croceus";"Colias croceus";"PT";"No Red List available";
"Colias croceus";"Colias croceus";"RO";"No Red List available";
"Colias croceus";"Colias croceus";"RU";"No Red List available";
"Colias croceus";"Colias croceus";"SE";"NtA";
"Colias croceus";"Colias croceus";"SI";"LC";
"Colias croceus";"Colias croceus";"SK";"LC";
"Colias erate";"Colias erate";"AT";"LC";
"Colias erate";"Colias erate";"BG";"LC";
"Colias erate";"Colias erate";"CZ";"LC";
"Colias erate";"Colias erate";"DE";"NE";
"Colias erate";"Colias erate";"GR";"LC";
"Colias erate";"Colias erate";"HR";"LC";
"Colias erate";"Colias erate";"HU";"LC";
"Colias erate";"Colias erate";"MD";"No Red List available";
"Colias erate";"Colias erate";"MK";"Unknown";
"Colias erate";"Colias erate";"PL";"LC";
"Colias erate";"Colias erate";"RO";"No Red List available";
"Colias erate";"Colias erate";"RS";"LC";
"Colias erate";"Colias erate";"RU";"No Red List available";
"Colias erate";"Colias erate";"SI";"LC";
"Colias erate";"Colias erate";"SK";"DD";
"Colias erate";"Colias erate";"UA";"No Red List available";
"Colias hecla";"Colias hecla";"FI";"VU";
"Colias hecla";"Colias hecla";"NO";"LC";
"Colias hecla";"Colias hecla";"RU";"No Red List available";
"Colias hecla";"Colias hecla";"SE";"NT";
"Colias hyale";"Colias hyale";"AL";"Unknown";
"Colias hyale";"Colias hyale";"AT";"LC";
"Colias hyale";"Colias hyale";"BA";"LC";
"Colias hyale";"Colias hyale";"BE";"LC";
"Colias hyale";"Colias hyale";"BG";"LC";
"Colias hyale";"Colias hyale";"BY";"Unknown";
"Colias hyale";"Colias hyale";"CH";"LC";
"Colias hyale";"Colias hyale";"CZ";"LC";
"Colias hyale";"Colias hyale";"DE";"LC";
"Colias hyale";"Colias hyale";"DK";"LC";
"Colias hyale";"Colias hyale";"EE";"No Red List available";
"Colias hyale";"Colias hyale";"FI";"LC";
"Colias hyale";"Colias hyale";"FR";"LC";
"Colias hyale";"Colias hyale";"HR";"LC";
"Colias hyale";"Colias hyale";"HU";"LC";
"Colias hyale";"Colias hyale";"IT";"LC";
"Colias hyale";"Colias hyale";"LI";"No Red List available";
"Colias hyale";"Colias hyale";"LT";"Unknown";
"Colias hyale";"Colias hyale";"LU";"VU";
"Colias hyale";"Colias hyale";"LV";"No Red List available";
"Colias hyale";"Colias hyale";"MD";"No Red List available";
"Colias hyale";"Colias hyale";"ME";"No Red List available";
"Colias hyale";"Colias hyale";"MK";"Unknown";
"Colias hyale";"Colias hyale";"NL";"NE";
"Colias hyale";"Colias hyale";"PL";"LC";
"Colias hyale";"Colias hyale";"RO";"No Red List available";
"Colias hyale";"Colias hyale";"RS";"DD";
"Colias hyale";"Colias hyale";"RU";"No Red List available";
"Colias hyale";"Colias hyale";"SE";"NtA";
"Colias hyale";"Colias hyale";"SI";"LC";
"Colias hyale";"Colias hyale";"SK";"LC";
"Colias hyale";"Colias hyale";"UA";"No Red List available";
"Colias myrmidone";"Colias myrmidone";"AT";"CR";
"Colias myrmidone";"Colias myrmidone";"BY";"NT";
"Colias myrmidone";"Colias myrmidone";"CZ";"CR";
"Colias myrmidone";"Colias myrmidone";"DE";"RE";
"Colias myrmidone";"Colias myrmidone";"HR";"CR";
"Colias myrmidone";"Colias myrmidone";"HU";"RE";
"Colias myrmidone";"Colias myrmidone";"LT";"Unknown";
"Colias myrmidone";"Colias myrmidone";"LV";"No Red List available";
"Colias myrmidone";"Colias myrmidone";"PL";"VU";
"Colias myrmidone";"Colias myrmidone";"RO";"No Red List available";
"Colias myrmidone";"Colias myrmidone";"RS";"VU";
"Colias myrmidone";"Colias myrmidone";"RU";"No Red List available";
"Colias myrmidone";"Colias myrmidone";"SI";"EN";
"Colias myrmidone";"Colias myrmidone";"SK";"EN";
"Colias myrmidone";"Colias myrmidone";"UA";"No Red List available";
"Colias palaeno";"Colias palaeno";"AT";"VU";
"Colias palaeno";"Colias palaeno";"BE";"RE";
"Colias palaeno";"Colias palaeno";"BY";"NT";
"Colias palaeno";"Colias palaeno";"CH";"NT";
"Colias palaeno";"Colias palaeno";"CZ";"VU";
"Colias palaeno";"Colias palaeno";"DE";"EN";
"Colias palaeno";"Colias palaeno";"EE";"No Red List available";
"Colias palaeno";"Colias palaeno";"FI";"LC";
"Colias palaeno";"Colias palaeno";"FR";"LC";
"Colias palaeno";"Colias palaeno";"IT";"LC";
"Colias palaeno";"Colias palaeno";"LI";"No Red List available";
"Colias palaeno";"Colias palaeno";"LT";"Unknown";
"Colias palaeno";"Colias palaeno";"LV";"No Red List available";
"Colias palaeno";"Colias palaeno";"NO";"LC";
"Colias palaeno";"Colias palaeno";"PL";"EN";
"Colias palaeno";"Colias palaeno";"RU";"No Red List available";
"Colias palaeno";"Colias palaeno";"SE";"LC";
"Colias palaeno";"Colias palaeno";"SK";"EN";
"Colias palaeno";"Colias palaeno";"UA";"No Red List available";
"Colias phicomone";"Colias phicomone";"AD";"NT";
"Colias phicomone";"Colias phicomone";"AT";"LC";
"Colias phicomone";"Colias phicomone";"CH";"LC";
"Colias phicomone";"Colias phicomone";"DE";"LC";
"Colias phicomone";"Colias phicomone";"ES";"Unknown";
"Colias phicomone";"Colias phicomone";"FR";"LC";
"Colias phicomone";"Colias phicomone";"IT";"LC";
"Colias phicomone";"Colias phicomone";"LI";"No Red List available";
"Colias tyche";"Colias tyche";"FI";"NT";
"Colias tyche";"Colias tyche";"NO";"LC";
"Colias tyche";"Colias tyche";"RU";"No Red List available";
"Colias tyche";"Colias tyche";"SE";"LC";
"Colotis evagore";"Colotis evagore";"ES";"Unknown";
"Cupido alcetas";"Cupido alcetas";"AT";"DD";
"Cupido alcetas";"Cupido alcetas";"BA";"VU";
"Cupido alcetas";"Cupido alcetas";"BG";"LC";
"Cupido alcetas";"Cupido alcetas";"CH";"NT";
"Cupido alcetas";"Cupido alcetas";"CZ";"VU";
"Cupido alcetas";"Cupido alcetas";"ES";"Unknown";
"Cupido alcetas";"Cupido alcetas";"FI";"Unknown";
"Cupido alcetas";"Cupido alcetas";"FR";"LC";
"Cupido alcetas";"Cupido alcetas";"GR";"LC";
"Cupido alcetas";"Cupido alcetas";"HR";"LC";
"Cupido alcetas";"Cupido alcetas";"HU";"NT";
"Cupido alcetas";"Cupido alcetas";"IT";"LC";
"Cupido alcetas";"Cupido alcetas";"LV";"Unknown";
"Cupido alcetas";"Cupido alcetas";"MD";"No Red List available";
"Cupido alcetas";"Cupido alcetas";"ME";"No Red List available";
"Cupido alcetas";"Cupido alcetas";"MK";"Unknown";
"Cupido alcetas";"Cupido alcetas";"PL";"LC";
"Cupido alcetas";"Cupido alcetas";"RO";"No Red List available";
"Cupido alcetas";"Cupido alcetas";"RS";"VU";
"Cupido alcetas";"Cupido alcetas";"RU";"No Red List available";
"Cupido alcetas";"Cupido alcetas";"SI";"LC";
"Cupido alcetas";"Cupido alcetas";"SK";"DD";
"Cupido alcetas";"Cupido alcetas";"UA";"No Red List available";
"Cupido argiades";"Cupido argiades";"AL";"Unknown";
"Cupido argiades";"Cupido argiades";"AT";"LC";
"Cupido argiades";"Cupido argiades";"BA";"LC";
"Cupido argiades";"Cupido argiades";"BE";"RE";
"Cupido argiades";"Cupido argiades";"BG";"LC";
"Cupido argiades";"Cupido argiades";"BY";"Unknown";
"Cupido argiades";"Cupido argiades";"CH";"NT";
"Cupido argiades";"Cupido argiades";"CZ";"LC";
"Cupido argiades";"Cupido argiades";"DE";"NT";
"Cupido argiades";"Cupido argiades";"EE";"No Red List available";
"Cupido argiades";"Cupido argiades";"ES";"Unknown";
"Cupido argiades";"Cupido argiades";"FI";"VU";
"Cupido argiades";"Cupido argiades";"FR";"LC";
"Cupido argiades";"Cupido argiades";"GR";"LC";
"Cupido argiades";"Cupido argiades";"HR";"LC";
"Cupido argiades";"Cupido argiades";"HU";"LC";
"Cupido argiades";"Cupido argiades";"IT";"LC";
"Cupido argiades";"Cupido argiades";"LI";"No Red List available";
"Cupido argiades";"Cupido argiades";"LT";"Unknown";
"Cupido argiades";"Cupido argiades";"LU";"RE";
"Cupido argiades";"Cupido argiades";"LV";"No Red List available";
"Cupido argiades";"Cupido argiades";"MD";"No Red List available";
"Cupido argiades";"Cupido argiades";"ME";"No Red List available";
"Cupido argiades";"Cupido argiades";"MK";"Unknown";
"Cupido argiades";"Cupido argiades";"NL";"Unknown";
"Cupido argiades";"Cupido argiades";"PL";"LC";
"Cupido argiades";"Cupido argiades";"RO";"No Red List available";
"Cupido argiades";"Cupido argiades";"RS";"VU";
"Cupido argiades";"Cupido argiades";"RU";"No Red List available";
"Cupido argiades";"Cupido argiades";"SI";"LC";
"Cupido argiades";"Cupido argiades";"SK";"LC";
"Cupido argiades";"Cupido argiades";"UA";"No Red List available";
"Cupido carswelli";"Cupido lorquinii";"ES";"Unknown";
"Cupido decolorata";"Cupido decolorata";"AL";"Unknown";
"Cupido decolorata";"Cupido decolorata";"AT";"LC";
"Cupido decolorata";"Cupido decolorata";"BA";"CR";
"Cupido decolorata";"Cupido decolorata";"BG";"LC";
"Cupido decolorata";"Cupido decolorata";"BY";"LC";
"Cupido decolorata";"Cupido decolorata";"HU";"NT";
"Cupido decolorata";"Cupido decolorata";"MD";"No Red List available";
"Cupido decolorata";"Cupido decolorata";"ME";"No Red List available";
"Cupido decolorata";"Cupido decolorata";"MK";"Unknown";
"Cupido decolorata";"Cupido decolorata";"PL";"LC";
"Cupido decolorata";"Cupido decolorata";"RO";"No Red List available";
"Cupido decolorata";"Cupido decolorata";"RS";"VU";
"Cupido decolorata";"Cupido decolorata";"SI";"NT";
"Cupido decolorata";"Cupido decolorata";"SK";"LC";
"Cupido decoloratus";"Cupido decolorata";"CZ";"NT";
"Cupido decoloratus";"Cupido decolorata";"GR";"LC";
"Cupido decoloratus";"Cupido decolorata";"HR";"LC";
"Cupido decoloratus";"Cupido decolorata";"RU";"No Red List available";
